words,RMSE,trend_points
commons.m_File:La_fessée_à_l'école.ogv,22.7783375672568,3
commons.m_File:Leonardo_da_Vinci_(1452-1519)_-_The_Last_Supper_(1495-1498).jpg,18.414490148084276,2
commons.m_File:Licensing_tutorial_en.svg,15.256666392352733,7
commons.m_File:Linux_Distribution_Timeline.svg,17.876111377238825,1
commons.m_File:Loading_icon.gif,24.931041473124555,3
commons.m_File:Logo_NIKE.svg,20.02507177475862,3
commons.m_File:Map_of_USA_with_state_names.svg,22.440597748437025,1
commons.m_File:Map_of_the_Great_Wall_of_China.jpg,20.97766849624572,1
commons.m_File:Massages.ogv,20.370876008483815,7
commons.m_File:Masturbation.jpg,23.135203102396297,5
commons.m_File:McDonalds_in_St_Petersburg_2004.JPG,21.998017954958495,9
commons.m_File:Microsoft_logo_(1987).svg,11.508682926330877,8
"commons.m_File:Mona_Lisa,_by_Leonardo_da_Vinci,_from_C2RMF_retouched.jpg",21.673538245714678,2
commons.m_File:Mona_Lisa.jpg,22.425571357648305,5
commons.m_File:Moscow_Ring_Railway_full_trip_-_view_from_ES2G_train.webm,22.692595553885297,4
commons.m_File:Mousquetaire_au_restaurant_part_2.ogv,17.915650677257876,6
commons.m_File:Museo_Ugo_Guidi_interno.jpg,22.32471016812974,3
commons.m_File:Orion_Head_to_Toe.jpg,18.00697650580351,3
commons.m_File:Osmanu-vilajeti-kosova.svg,20.10207751951849,12
commons.m_File:Paris_department_land_cover_location_map.jpg,25.321260908656186,6
commons.m_File:Periodic-table.jpg,21.885318626833154,3
commons.m_File:Pietra_Ugo_Guidi.jpg,22.200287220918323,3
commons.m_File:Poland_adm_location_map.svg,20.915887378481216,4
commons.m_File:Prevailing_world_religions_map_rus.png,20.289582947599314,5
commons.m_File:Project_1164_Moskva_2011.jpg,20.760118557230385,7
commons.m_File:Quantum_superposition_of_states_and_decoherence.ogv,22.956242024929317,8
commons.m_File:Queen_Liliuokalani.jpg,11.227109730687278,8
commons.m_File:Ragnar_Lodbroks_död_by_Hugo_Hamilton.jpg,16.50494282752058,4
commons.m_File:Rus-1015-1113.png,18.810588715529715,1
"commons.m_File:Russia._Moscow_Region._Winter_pine_wood,_lake_Kratovskoe_area.JPG",11.36957179185547,6
commons.m_File:Russia_political_location_map_(Crimea_disputed).svg,20.608110707995685,3
commons.m_File:Samsung_Logo.svg,23.525000124966517,4
commons.m_File:San_lorenzo_father_massa.jpg,16.18231753115795,6
commons.m_File:Sandro_Botticelli_-_La_Carte_de_l'Enfer.jpg,24.78779463084176,4
commons.m_File:Sandro_Botticelli_-_La_nascita_di_Venere_-_Google_Art_Project_-_edited.jpg,18.885677755898556,3
commons.m_File:Sarcoptes_scabiei.ogv,23.887614130514994,3
commons.m_File:Scanner_bw.png,22.06952042962828,3
commons.m_File:Schumann_resonance_animation.ogv,21.2870475218704,5
commons.m_File:Segundo_ramirez_1927.jpg,20.69162743855895,1
commons.m_File:Shaved_vulva_by_Flickr-user_Nude_Pictaker.jpg,22.40304174146277,9
commons.m_File:SkyyVodka750ml.jpg,20.577689559591043,7
commons.m_File:Spacecolony3edit.jpeg,21.621832515860692,7
commons.m_File:Spain_location_map.svg,23.40796954100787,3
commons.m_File:Speaker_Icon.svg,19.493731379731095,7
commons.m_File:Steve_ballmer_2007_outdoors.jpg,11.227109730687278,8
commons.m_File:Syrian_civil_war.png,21.07744712621326,4
commons.m_File:TAP_Portugal_Logo.svg,24.358121219220962,2
commons.m_File:Test_Case_Added.png,14.742346323502435,6
commons.m_File:The_First_Thanksgiving_cph.3g04961.jpg,15.431020367407362,2
commons.m_File:The_International_Phonetic_Alphabet_(revised_to_2015).pdf,21.323410544193337,4
"commons.m_File:The_Thinker,_Rodin.jpg",18.665182051835483,5
commons.m_File:The_time_before_safety_gear_came_around.jpg,22.756796917875132,3
commons.m_File:Trump_&_Clinton.jpg,17.991147218172717,6
commons.m_File:Turkey_adm_location_map.svg,24.300725089912568,8
commons.m_File:United_States_Navy_Band_-_Sweden.ogg,27.408277385862462,5
commons.m_File:Uploadwizard-categories.png,23.613858444341925,6
