words,RMSE,trend_points
de_HK417,20.041083015264967,2
de_HK69,18.031889357631215,7
de_HK_G3,16.132004409350536,3
de_HK_G36,17.728447716458838,3
de_HK_MG4,15.35096631914719,2
de_HK_MK23,23.219445535313394,4
de_HK_MP5,18.450583686198947,7
de_HK_MSG90,19.413217078541713,5
de_HK_SFP9,22.3291116901207,4
de_HK_UMP,20.5922176984823,5
de_HK_USP,22.81443661615021,2
de_HK_XM8,15.88128644374377,3
de_HMHS_Britannic,12.485619386697065,2
de_HMS_Dreadnought_(1906),25.455223318656525,3
de_HMS_Hood_(51),18.901003100196608,4
de_HMS_Ocean_(L12),19.85782377581769,2
de_HMS_Prince_of_Wales_(53),21.953683395164397,1
de_HMS_Queen_Elizabeth_(R08),16.93515507823197,1
de_HMS_Victory,17.656363473694643,1
de_HPV-Impfstoff,24.76633339009153,6
de_HR_Giger,23.0267505782746,4
de_HS_30,16.11234990608166,3
de_HTMS_Chakri_Naruebet,14.166000616032717,3
de_HTTP-Statuscode,24.499020420384422,2
de_HTTP_Strict_Transport_Security,17.347105613950706,1
de_Haarlem,23.986350443703685,6
de_Haastadler,21.748921225548024,4
de_Habanero,21.46374300941419,3
de_Habichtartige,18.20401563998728,4
de_Habit,17.981076630268248,4
de_Habitable_Zone,27.88029374804506,4
de_Habsburg-Lothringen,25.183070206138396,7
de_Hachiko_–_Eine_wunderbare_Freundschaft,22.896896532744368,4
de_Hachikō,19.78594452129836,3
de_Hack,19.88708620827031,4
de_Hackerangriff_auf_private_Fotos_von_Prominenten_2014,16.692787574352128,1
de_Hacksaw_Ridge,23.811477664430196,1
de_Hadaikum,17.153365807899508,3
de_Haddaway,18.747429372301404,1
de_Haddsch,23.79201735353358,4
de_Hades,22.451540848409493,3
de_Hadrian_(Kaiser),18.931912048178642,6
de_Hadrian_VI.,15.643425031080797,6
de_Hadron,26.3257480464075,6
de_Haferbrei,16.24502520350107,5
de_Haferflocken,19.35060820886778,4
de_Haflinger,21.4747838370336,13
de_Hage_Geingob,17.443172950840065,2
de_Hagebutte,22.025038095542172,1
de_Hagen,18.113395658049235,1
de_Hagen_Liebing,18.81752559056221,2
de_Haggis,19.541928919726985,4
de_Hahnenkammrennen,23.280212299529026,5
de_Haifa,22.87625719810745,5
"de_Hail,_Caesar!",21.838214881753974,2
de_Hailee_Steinfeld,21.575911133744643,4
de_Hainan,15.117875342481659,4
de_Hainbuche,22.558271554436818,5
de_Haindling_(Band),24.231300244264844,3
de_Haka,11.161914121127914,4
de_Halbacetale,24.456673438678028,9
de_Halbe_Brüder,22.439663264068745,5
de_Halbinsel,14.113962662454055,5
de_Halestorm,16.98607967126788,5
de_Haley_Joel_Osment,14.798607807947448,7
de_Half-Life,17.70099756933124,4
de_Half-Life_2,24.114172416804262,5
de_Halifax_(Nova_Scotia),21.929297855243146,5
de_Halkların_Demokratik_Partisi,17.549783647432218,4
de_Hall-Effekt,24.16753144327749,7
de_Hall-Sensor,23.113588510019387,4
de_Halle_Berry,16.984986648635342,5
de_Halleluja,17.069744179082697,2
de_Hallelujah_(Lied),17.072406057399828,1
de_Hallig,22.872654840427384,6
de_Hallo-Welt-Programm,24.347754688858124,3
de_Halloumi,12.127061593293272,2
de_Halloween_(2007),21.03799780698798,7
de_Hallstatt,22.213096102930937,3
de_Hallstein-Doktrin,24.601819763824718,6
de_Halo,22.515399357727453,2
de_Halo-Effekt,24.904811828069086,5
de_Halo_(Lichteffekt),21.751133852425355,2
de_Halogenkohlenwasserstoffe,19.978280353189692,4
de_Hals-Nasen-Ohren-Heilkunde,24.8190587521643,4
de_Halsbandsittich,24.179260656631854,3
de_Halteproblem,24.796344087925632,5
de_Haltverbot,21.118765367098575,3
de_Halva,23.543473709055107,4
de_Hamas,28.516430646068134,8
de_Hamburg-Blankenese,18.222997313647422,5
de_Hamburg-HafenCity,23.482812358207113,5
de_Hamburg-Langenhorn,22.605566022242947,3
de_Hamburg-St._Georg,22.881717688623443,5
de_Hamburg-St._Pauli,22.980689880455287,4
de_Hamburger_Elbbrücken,16.713241556419604,5
de_Hamburger_Rathaus,15.733239185477036,4
de_Hamburger_SV,19.777835177682718,4
de_Hamburger_Verkehrsverbund,23.71598871021016,3
de_Hammer-Filme,18.981778853807615,5
de_Hammerfall,17.664487516939765,5
de_Hammerhaie,22.632651712688666,2
de_Hamming-Abstand,21.999708291425705,3
de_Hammond-Orgel,21.253773780618847,7
de_Hammām,21.83277120329062,6
de_Hampshire,23.175189542623496,2
de_Hamptons,19.16472749756924,6
de_Han-Dynastie,22.30532902088095,4
de_Hanau,22.226151559294173,4
de_Hand,16.924013341954186,4
de_Hand_of_God_(Fernsehserie),22.30517292449088,4
de_Handball-Bundesliga,21.69730748541531,4
de_Handelsregister_(Deutschland),18.927541688944043,4
de_Handelsspanne,23.48073860538232,4
de_Handgelenk,23.482547698155926,2
de_Handjob,25.959711897240485,8
de_Handkäse,20.74809778595602,6
de_Handlung_(Erzählkunst),24.669627772935243,6
de_Handlungskompetenz,22.841889487659028,4
de_Handwerk,23.22045695655662,3
de_Hangover_2,18.079467521973754,4
de_Hanka_Rackwitz,20.117724645677644,2
de_Hanky_Code,19.20781541495598,4
de_Hann._Münden,20.618873335113413,4
de_Hanna_Binke,17.997499314985358,3
de_Hanna_Reitsch,24.566477891578668,2
de_Hannah_Herzsprung,17.49803471454184,7
de_Hannah_Montana,23.329656510809404,4
de_Hannah_Murray,21.31210320322593,3
de_Hannelore_Elsner,14.262964667471632,3
de_Hannelore_Hoger,24.077639295701818,6
de_Hannes_Jaenicke,18.923900563495575,5
de_Hannes_Maurer,18.500630973340918,4
