Unnamed: 0,words,RMSE,trend_points
122,de_The_Last_Kingdom_(Fernsehserie)/Episodenliste,12.839066801187258,2
123,de_The_Last_Ship_(Fernsehserie)/Episodenliste,12.743604124197486,2
124,de_The_Last_of_Us,12.887739713847573,2
125,de_The_Late_Late_Show_with_James_Corden,13.165959895119169,3
126,de_The_Legend_of_Zelda:_Ocarina_of_Time,12.635895091993135,6
127,de_The_Les_Humphries_Singers,13.134628372843075,3
128,de_The_Limits_of_Control,12.39987422602371,4
129,de_The_Lobster,15.516731264711542,4
130,de_The_Lumineers,12.432874159541251,3
131,de_The_Man_in_the_High_Castle,15.283530758625048,5
132,de_The_Master,19.041096269085656,3
133,de_The_Mentalist,16.45509033573272,7
134,de_The_Mentalist/Episodenliste,9.471112063431347,3
135,de_The_Middle,13.131960884592203,3
136,de_The_Moody_Blues,14.358782010467612,3
137,de_The_New_York_Times,16.858866576395773,7
138,de_The_Newsroom,13.87142364438014,3
139,de_The_North_Face,27.830826188971656,26
140,de_The_Office,12.949380230133428,4
141,de_The_Offspring,13.311200716691602,3
142,de_The_Place_Beyond_the_Pines,14.540618408158526,1
143,de_The_Police,14.492402543176345,4
144,de_The_Pretty_Reckless,13.842657052792187,7
145,de_The_Punisher_(2004),15.631554246656124,6
146,de_The_Purge:_Election_Year,14.812243100462403,5
147,de_The_Pussycat_Dolls,42.29749249529141,7
148,de_The_Returned_(2012),10.890269559104024,8
149,de_The_Returned_(2015),461.24058909309264,9
150,de_The_Rock_–_Fels_der_Entscheidung,12.59176312152722,4
151,de_The_Rolling_Stones,13.809460816113665,7
152,de_The_Roots,14.066012137175846,3
153,de_The_Shadows,17.78482018770267,5
154,de_The_Shallows_–_Gefahr_aus_der_Tiefe,15.038638883446838,6
155,de_The_Shard,16.07911655960256,6
156,de_The_Shield_–_Gesetz_der_Gewalt,14.480184957584452,5
157,de_The_Signal_(2014),12.761284968717954,4
158,de_The_Sisters_of_Mercy,18.24624213655913,2
159,de_The_Sixth_Sense,17.729659335663506,4
160,de_The_Smashing_Pumpkins,14.513444560595447,4
161,de_The_Smiths,12.246422877699196,5
162,de_The_Social_Network,14.193611519553444,5
163,de_The_Sound_of_Silence,12.856747318062618,3
164,de_The_Star-Spangled_Banner,13.138059682272804,6
165,de_The_Strain_(Fernsehserie),14.388610164483039,5
166,de_The_Strokes,13.623600483993313,5
