Unnamed: 0,words,RMSE,trend_points
0,de_HK417,12.440495674544113,3
1,de_HK69,14.131513207907991,2
2,de_HK_G3,27.990488687544516,5
3,de_HK_G36,12.275201951024926,8
4,de_HK_MG4,18.345391515793487,5
5,de_HK_MK23,14.436257696489124,10
6,de_HK_MP5,17.924071455034326,7
7,de_HK_MSG90,14.918617268879395,6
8,de_HK_SFP9,15.94067738781646,11
9,de_HK_UMP,36.7167830793209,8
10,de_HK_USP,67.14875383362353,10
11,de_HK_XM8,95.94703931413484,9
12,de_HMHS_Britannic,15.183124549300645,5
13,de_HMS_Dreadnought_(1906),17.347341774379785,3
14,de_HMS_Hood_(51),15.149286049235412,2
15,de_HMS_Ocean_(L12),11.967356910569599,9
16,de_HMS_Prince_of_Wales_(53),15.579410118080881,5
17,de_HMS_Queen_Elizabeth_(R08),146.0843085503966,9
18,de_HMS_Victory,15.450213636724625,4
19,de_HPV-Impfstoff,21.681387207151584,2
20,de_HR_Giger,16.83269347641399,9
21,de_HS_30,15.499459085674268,5
22,de_HTMS_Chakri_Naruebet,15.562043394002394,4
23,de_HTTP-Statuscode,15.390979888247532,4
24,de_HTTP_Strict_Transport_Security,16.385936451886472,2
25,de_Haarlem,16.962044127793412,4
26,de_Haastadler,102.15318668631771,24
27,de_Habanero,12.398582716165215,3
28,de_Habichtartige,23.524206246666388,6
29,de_Habit,73.40292013240608,5
30,de_Habitable_Zone,15.856487296045884,7
31,de_Habsburg-Lothringen,60.4844015121512,10
32,de_Hachiko_–_Eine_wunderbare_Freundschaft,12.580522187244465,8
33,de_Hachikō,19.48870881443045,4
34,de_Hack,15.303289692177827,1
35,de_Hackerangriff_auf_private_Fotos_von_Prominenten_2014,17.812513894521196,4
36,de_Hacksaw_Ridge,19.29742931548222,9
37,de_Hadaikum,14.432753967377186,3
38,de_Haddaway,15.700812841465625,8
39,de_Haddsch,15.487055299095626,5
40,de_Hades,15.610812659484072,6
41,de_Hadrian_(Kaiser),17.708806892116538,3
42,de_Hadrian_VI.,18.804438923928974,3
43,de_Hadron,60.40370866037168,8
44,de_Haferbrei,102.15318668631771,24
45,de_Haferflocken,15.563503786930125,5
46,de_Haflinger,18.441043261184944,5
47,de_Hage_Geingob,18.51335491018553,10
48,de_Hagebutte,12.434670888606165,9
49,de_Hagen,14.434589241434006,5
50,de_Hagen_Liebing,46.915567621383495,10
51,de_Haggis,16.66437385600187,5
52,de_Hahnenkammrennen,14.040067096136275,5
53,de_Haifa,18.338851272872784,1
54,"de_Hail,_Caesar!",30.53927994722143,6
55,de_Hailee_Steinfeld,16.66972378978569,9
56,de_Hainan,205.76318472552762,6
57,de_Hainbuche,20.679318000445374,2
58,de_Haindling_(Band),17.37262639166936,1
59,de_Haka,20.048249184032727,4
60,de_Halbacetale,17.754304273495165,6
61,de_Halbe_Brüder,13.143704423816574,8
62,de_Halbinsel,15.240095286761415,2
63,de_Halestorm,16.926391897994414,5
64,de_Haley_Joel_Osment,15.478888035262866,5
65,de_Half-Life,17.298837212213712,6
66,de_Half-Life_2,15.426672889327481,7
67,de_Halifax_(Nova_Scotia),11.196750999969812,6
68,de_Halkların_Demokratik_Partisi,17.18706268355842,8
69,de_Hall-Effekt,14.686802304626932,4
70,de_Hall-Sensor,11.283150136810276,5
71,de_Halle_Berry,12.626748453010824,3
72,de_Halleluja,9.736946124715763,7
73,de_Hallelujah_(Lied),14.364858163352258,2
74,de_Hallig,14.827282199265154,1
75,de_Hallo-Welt-Programm,79.84592373127565,11
76,de_Halloumi,13.251114293728714,3
77,de_Halloween_(2007),34.14702648360377,8
78,de_Hallstatt,12.311471537163564,6
79,de_Hallstein-Doktrin,15.362745327169455,4
80,de_Halo,12.97589813606193,5
81,de_Halo-Effekt,13.146103703409775,6
82,de_Halo_(Lichteffekt),13.660140445645304,2
83,de_Halogenkohlenwasserstoffe,13.476054941259447,1
84,de_Hals-Nasen-Ohren-Heilkunde,13.111199082609046,4
85,de_Halsbandsittich,12.807710909006152,2
86,de_Halteproblem,13.165959895119169,3
87,de_Haltverbot,12.823594651528134,4
