Unnamed: 0,words,RMSE,trend_points
0,commons.m_File:La_fessée_à_l'école.ogv,12.440495674544113,3
1,commons.m_File:Leonardo_da_Vinci_(1452-1519)_-_The_Last_Supper_(1495-1498).jpg,14.131513207907991,2
2,commons.m_File:Licensing_tutorial_en.svg,27.990488687544516,5
3,commons.m_File:Linux_Distribution_Timeline.svg,12.275201951024926,8
4,commons.m_File:Loading_icon.gif,18.345391515793487,5
5,commons.m_File:Logo_NIKE.svg,14.436257696489124,10
6,commons.m_File:Map_of_USA_with_state_names.svg,17.924071455034326,7
7,commons.m_File:Map_of_the_Great_Wall_of_China.jpg,14.918617268879395,6
8,commons.m_File:Massages.ogv,15.94067738781646,11
9,commons.m_File:Masturbation.jpg,36.7167830793209,8
10,commons.m_File:McDonalds_in_St_Petersburg_2004.JPG,67.14875383362353,10
11,commons.m_File:Microsoft_logo_(1987).svg,95.94703931413484,9
12,"commons.m_File:Mona_Lisa,_by_Leonardo_da_Vinci,_from_C2RMF_retouched.jpg",15.183124549300645,5
13,commons.m_File:Mona_Lisa.jpg,17.347341774379785,3
14,commons.m_File:Moscow_Ring_Railway_full_trip_-_view_from_ES2G_train.webm,15.149286049235412,2
15,commons.m_File:Mousquetaire_au_restaurant_part_2.ogv,11.967356910569599,9
16,commons.m_File:Museo_Ugo_Guidi_interno.jpg,15.579410118080881,5
17,commons.m_File:Orion_Head_to_Toe.jpg,146.0843085503966,9
18,commons.m_File:Osmanu-vilajeti-kosova.svg,15.450213636724625,4
19,commons.m_File:Paris_department_land_cover_location_map.jpg,21.681387207151584,2
20,commons.m_File:Periodic-table.jpg,16.83269347641399,9
21,commons.m_File:Pietra_Ugo_Guidi.jpg,15.499459085674268,5
22,commons.m_File:Poland_adm_location_map.svg,15.562043394002394,4
23,commons.m_File:Prevailing_world_religions_map_rus.png,15.390979888247532,4
24,commons.m_File:Project_1164_Moskva_2011.jpg,16.385936451886472,2
25,commons.m_File:Quantum_superposition_of_states_and_decoherence.ogv,16.962044127793412,4
26,commons.m_File:Queen_Liliuokalani.jpg,102.15318668631771,24
27,commons.m_File:Ragnar_Lodbroks_död_by_Hugo_Hamilton.jpg,12.398582716165215,3
28,commons.m_File:Rus-1015-1113.png,23.524206246666388,6
29,"commons.m_File:Russia._Moscow_Region._Winter_pine_wood,_lake_Kratovskoe_area.JPG",73.40292013240608,5
30,commons.m_File:Russia_political_location_map_(Crimea_disputed).svg,15.856487296045884,7
31,commons.m_File:Samsung_Logo.svg,60.4844015121512,10
32,commons.m_File:San_lorenzo_father_massa.jpg,12.580522187244465,8
33,commons.m_File:Sandro_Botticelli_-_La_Carte_de_l'Enfer.jpg,19.48870881443045,4
34,commons.m_File:Sandro_Botticelli_-_La_nascita_di_Venere_-_Google_Art_Project_-_edited.jpg,15.303289692177827,1
35,commons.m_File:Sarcoptes_scabiei.ogv,17.812513894521196,4
36,commons.m_File:Scanner_bw.png,19.29742931548222,9
37,commons.m_File:Schumann_resonance_animation.ogv,14.432753967377186,3
38,commons.m_File:Segundo_ramirez_1927.jpg,15.700812841465625,8
39,commons.m_File:Shaved_vulva_by_Flickr-user_Nude_Pictaker.jpg,15.487055299095626,5
