words,RMSE,trend_points
an_1179,10.512344287529611,3
an_118,11.637874318969038,5
an_1180,10.235730550937511,4
an_1181,9.900410405004864,6
an_1182,11.226875919657802,5
an_1183,11.589101708967792,2
an_1188,12.641372381771312,4
an_1192,12.629797675461283,6
an_1195,13.719395357740481,8
an_1196,14.424089522639227,8
an_1198,122.14735755552111,2
an_11_d'abiento,17.46067762093517,5
an_11_d'abril,15.93688150313996,5
an_11_d'agosto,20.389198003808996,8
an_11_d'aviento,18.29192193312399,6
an_11_d'octubre,14.028005529627032,4
an_11_d'otubre,12.139844566662163,3
an_11_de_chinero,13.662760544274207,7
an_11_de_chulio,20.721428926379982,5
an_11_de_chuliol,15.585836809138316,3
an_11_de_chunio,25.690545717538292,3
an_11_de_chunyo,15.643045787023418,4
an_11_de_febrero,28.128669718992207,3
an_11_de_frebero,13.73201372580421,4
an_11_de_marzo,14.025798700706554,6
an_11_de_mayo,14.149238918809663,6
an_11_de_noviembre,14.29885554695704,6
an_11_de_setiembre,12.3896844954307,7
an_120,12.71122435354893,3
an_1201,10.003360168141167,3
an_1202,10.933494072770065,4
an_1206,11.51442104925598,6
an_1207,12.037294637444155,5
an_1208,11.323594372052455,3
an_1209,11.202932788061947,5
an_1210,15.270294159307845,8
an_1211,10.981283219037062,5
an_1212,18.303490849984247,5
an_1213,16.513310277802596,5
an_1214,16.601178521156168,5
an_1215,15.60286477312358,2
an_1216,10.439514264715887,6
an_1217,14.02103571374094,7
an_1218,13.503132027229231,7
an_1219,13.784424041498434,6
an_122,13.629058599599782,7
an_1220,11.812538683714564,4
an_123,14.02922720517174,5
an_1230,16.884917508213658,7
an_1231,11.413147446044466,8
an_1232,14.179975171762862,3
an_1234,14.886859688003705,3
an_1235,15.509507711858825,4
an_1236,15.329651643730479,9
an_1239,15.954491335983267,9
an_124,11.98477408803028,4
an_1241,13.486696480377832,4
an_1245,12.80827898891897,9
an_1246,13.518898693445317,5
an_1249,14.018827197475801,6
an_1250,14.828160389166346,5
an_1251,15.476048747216648,6
an_1252,16.20102714473529,3
an_1254,14.724831253483462,4
an_1257,15.760616586587167,7
an_1259,14.119302036153103,3
an_126,18.79415326819942,3
an_1260,18.368078565047313,4
an_1261,15.851216278295585,4
an_1262,14.331711888784215,3
an_1263,12.767786815899848,5
an_1264,14.36222097826276,5
an_1265,16.879844582400654,3
an_1266,18.418735562460437,3
an_1267,16.723270318837468,6
an_1268,18.555412167766516,5
an_1269,15.75326439603956,5
an_127,13.946139012690082,7
an_Biquipedia,15.9534209022025,4
an_Bit,13.444073876686904,3
an_Descusión_usuario:EBRO,20.529668607202066,1
an_Descusión_usuario:Makecat-bot,24.542487968648874,4
an_Especial:BuscarPorMIME/image/gif,14.693535946681422,7
an_Especial:BuscarPorMIME/image/png,11.693691714157968,10
an_Especial:BuscarPorMIME/image/svg+xml,14.117672357808353,6
an_Especial:Citar,35.35057073611079,8
an_Especial:Contrebucions/!proxy,12.306379614491991,3
an_Especial:Contrebucions/$$$Marlon$$$30,13.225709910924255,3
an_Especial:Contrebucions/(66666)_Cernunnos,13.34206193507606,2
an_Especial:Contrebucions/-=FearLess1945=-,12.068739480765627,1
an_Especial:Contrebucions/-WolliWolli-,12.400766912222796,2
an_Especial:Contrebucions/-revi,13.388805689017842,5
an_Especial:Contrebucions/Addihockey10_(automated),14.190853254563946,4
an_Especial:Contrebucions/Alecs.bot,16.48328859879992,10
an_Especial:Contrebucions/Alexbot,1194.2659081240697,7
an_Especial:Contrebucions/AlleborgoBot,10.728929910991399,7
an_Especial:Contrebucions/Almabot,14.987394097482936,6
an_Especial:Contrebucions/AraBot,12.725642354422522,6
an_Especial:Contrebucions/Archaeodontosaurus,15.037583739633822,6
an_Especial:Contrebucions/AstaBOTh15,15.013311122472679,4
an_Especial:Contrebucions/AvicBot,13.702335242406468,3
an_Especial:Contrebucions/AvocatoBot,17.691746520062164,8
an_Especial:Contrebucions/BOTarate,15.99919404422471,4
an_Especial:Contrebucions/BotMultichill,13.665494465863567,9
an_Especial:Contrebucions/Byrialbot,13.424949281003379,6
an_Especial:Contrebucions/CHV,14.564894563992588,6
an_Especial:Contrebucions/CarsracBot,13.961436245120815,6
an_Especial:Contrebucions/Cembo123,14.22718330973185,6
an_Especial:Contrebucions/ChessBOT,15.416438277249554,5
an_Especial:Contrebucions/Chlewbot,12.900741712243086,6
an_Especial:Contrebucions/Chris_die_Seele,16.371844103919123,8
an_Especial:Contrebucions/ChuispastonBot,13.090216080332208,2
an_Especial:Contrebucions/Cocedi,15.503390846392465,6
an_Especial:Contrebucions/CocuBot,14.266432160298502,9
an_Especial:Contrebucions/Comandancia,14.765823707707655,3
an_Especial:Contrebucions/CommonsDelinker,17.10602552008549,7
an_Especial:Contrebucions/Culex,15.320304680650821,7
an_Especial:Contrebucions/Cyprianus_Marcus,16.046466992197736,4
an_Especial:Contrebucions/DEagleBot,15.959000250498567,5
an_Especial:Contrebucions/Diego_Grez_Bot,13.039791881053032,10
an_Especial:Contrebucions/DirlBot,15.341702590721923,8
an_Especial:Contrebucions/DixonDBot,20.64515475840524,2
an_Especial:Contrebucions/EBRO,37.3633043746322,8
an_Especial:Contrebucions/Ebrambot,27.00577262038756,5
an_Especial:Contrebucions/EduardoGG,117.8614325905635,12
an_Especial:Contrebucions/Egmontbot,22.4221093982631,6
an_Especial:Contrebucions/EmausBot,77.57367166055293,6
an_Especial:Contrebucions/Escarbot,11.047706952423981,7
an_Especial:Contrebucions/Etemenanki,92.11847575645531,10
an_Especial:Contrebucions/FoxBot,10.751009646325517,7
an_Especial:Contrebucions/Gato_Preto,20.07806399578698,6
an_Especial:Contrebucions/GhalyBot,14.183270357674422,7
an_Especial:Contrebucions/HerculeBot,12.476193568199976,9
an_Especial:Contrebucions/HiW-Bot,14.324607371652633,5
an_Especial:Contrebucions/Invadibot,12.545995705574652,7
an_Especial:Contrebucions/JAnDbot,80.95284531307377,3
an_Especial:Contrebucions/JackieBot,23.49526435121809,10
an_Especial:Contrebucions/Jembot,15.357509775617547,6
an_Especial:Contrebucions/Jpbot,15.694831455525788,8
an_Especial:Contrebucions/Juanpabl,16.875679399050217,4
an_Especial:Contrebucions/Justincheng12345-bot,10.949901111350652,6
an_Especial:Contrebucions/KLBot2,31.660784002897138,9
an_Especial:Contrebucions/Lascorz,12.25088409241689,5
an_Especial:Contrebucions/Le_Pied-bot~anwiki,15.576456467078327,5
an_Especial:Contrebucions/Loveless,23.753504853188645,6
an_Especial:Contrebucions/LucienBOT,49.05639475497659,2
an_Especial:Contrebucions/Luckas-bot,82.32337968013191,3
an_Especial:Contrebucions/MABot,14.925089831686183,8
an_Especial:Contrebucions/MahdiBot,13.636571615718218,6
