words,ebay_trend,arima_trend,lstm_trend,sarima_trend,tes_trend,ma_trend
an_1128,False,False,False,True,False,False
an_1129,True,False,False,False,False,False
an_113,False,False,True,False,False,False
an_1130,False,False,False,False,False,False
an_1131,False,False,False,False,False,False
an_1133,False,False,False,False,False,False
an_1136,True,False,False,False,False,False
an_1137,False,False,False,False,False,False
an_1138,False,False,False,True,False,False
an_1145,False,False,False,False,False,False
an_1147,False,False,False,False,False,False
an_1150,False,False,False,False,False,False
an_1154,True,False,False,False,False,False
an_1157,False,False,False,False,False,False
an_1158,False,False,False,False,False,False
an_1159,False,False,False,False,False,False
an_116,False,False,False,False,False,False
an_1168,False,False,False,False,False,False
an_1174,False,False,False,False,False,False
an_1175,False,False,True,True,False,False
an_1176,False,False,False,False,False,False
an_1177,False,False,False,False,False,False
an_1178,False,False,False,False,False,False
an_1179,False,False,False,False,False,False
an_118,False,False,False,False,False,False
an_1180,False,False,False,False,False,False
an_1181,False,False,False,False,False,False
an_1182,False,False,False,False,False,False
an_1183,False,False,False,False,False,False
an_1188,False,False,False,True,False,False
an_1192,False,False,False,False,False,False
an_1195,False,False,False,False,False,False
an_1196,False,False,False,False,False,False
an_1198,True,False,False,False,False,False
an_11_d'abiento,False,False,True,True,False,False
an_11_d'abril,False,False,False,False,False,False
an_11_d'agosto,False,False,False,False,False,False
an_11_d'aviento,False,False,False,False,False,False
an_11_d'octubre,False,False,False,True,False,False
an_11_d'otubre,False,False,False,False,False,False
an_11_de_chinero,False,False,False,False,False,False
an_11_de_chulio,False,False,False,False,False,False
an_11_de_chuliol,False,False,False,False,False,False
an_11_de_chunio,False,False,True,False,False,False
an_11_de_chunyo,False,False,False,False,False,False
an_11_de_febrero,False,False,False,False,False,False
an_11_de_frebero,False,False,False,False,False,False
an_11_de_marzo,False,False,False,False,False,False
an_11_de_mayo,False,False,False,False,False,False
an_11_de_noviembre,True,False,False,False,False,False
an_11_de_setiembre,False,False,False,False,False,False
an_120,False,False,False,False,False,False
an_1201,False,False,False,False,False,False
an_1202,False,False,False,False,False,False
an_1206,False,False,False,False,False,False
an_1207,False,False,False,True,False,False
an_1208,False,False,False,False,False,False
an_1209,False,False,False,True,False,False
an_1210,False,False,False,False,False,False
an_1211,False,False,False,False,False,False
an_1212,False,False,False,False,False,False
an_1213,False,False,False,False,False,False
an_1214,False,False,False,False,False,False
an_1215,False,False,False,False,False,False
an_1216,False,False,False,False,False,False
an_1217,False,True,False,False,False,False
an_1218,False,False,False,True,False,False
an_1219,False,False,False,False,False,False
an_122,False,False,False,True,False,False
an_1220,False,False,False,False,False,False
an_123,False,False,False,False,False,False
an_1230,False,False,False,False,False,False
an_1231,False,True,False,False,False,False
an_1232,False,False,False,False,False,False
an_1234,False,False,False,True,False,False
an_1235,True,True,False,False,False,False
an_1236,False,False,False,False,False,False
an_1239,False,False,False,False,False,False
an_124,False,False,False,True,False,False
an_1241,False,False,False,False,False,False
an_1245,False,False,False,False,False,False
an_1246,True,False,False,False,False,False
an_1249,True,False,False,False,False,False
an_1250,False,False,False,False,False,False
an_1251,False,False,False,False,False,False
an_1252,False,False,False,False,False,False
an_1254,False,False,False,False,False,False
an_1257,False,False,False,True,False,False
an_1259,False,False,False,False,False,False
an_126,False,False,False,False,False,False
an_1260,False,False,False,False,False,False
an_1261,False,False,False,False,False,False
an_1262,False,False,False,False,False,False
an_1263,False,False,False,False,False,False
an_1264,True,False,False,True,False,False
an_1265,False,False,False,False,False,False
an_1266,False,False,False,False,False,False
an_1267,False,False,False,False,False,False
an_1268,False,False,False,True,False,False
an_1269,False,True,False,True,False,False
an_127,False,False,False,True,False,False
an_Biquipedia,False,False,False,False,False,False
an_Bit,False,False,False,False,False,False
an_Descusión_usuario:EBRO,False,False,False,False,False,False
an_Descusión_usuario:Makecat-bot,False,False,False,False,False,False
an_Especial:BuscarPorMIME/image/gif,False,False,False,False,False,False
an_Especial:BuscarPorMIME/image/png,True,True,False,False,True,False
an_Especial:BuscarPorMIME/image/svg+xml,True,False,False,False,False,False
an_Especial:Citar,False,False,False,False,False,False
an_Especial:Contrebucions/!proxy,False,False,False,False,False,False
an_Especial:Contrebucions/$$$Marlon$$$30,False,False,False,False,False,False
an_Especial:Contrebucions/(66666)_Cernunnos,False,False,True,False,False,False
an_Especial:Contrebucions/-=FearLess1945=-,False,False,False,False,False,False
an_Especial:Contrebucions/-WolliWolli-,False,False,False,True,False,False
an_Especial:Contrebucions/-revi,False,False,False,True,False,False
an_Especial:Contrebucions/Addihockey10_(automated),True,False,False,False,False,False
an_Especial:Contrebucions/Alecs.bot,True,True,False,False,True,False
an_Especial:Contrebucions/Alexbot,False,False,False,False,False,False
an_Especial:Contrebucions/AlleborgoBot,False,True,False,False,False,False
an_Especial:Contrebucions/Almabot,True,True,False,False,False,False
an_Especial:Contrebucions/AraBot,True,False,False,True,False,False
an_Especial:Contrebucions/Archaeodontosaurus,True,True,False,False,False,False
an_Especial:Contrebucions/AstaBOTh15,False,False,False,True,False,False
an_Especial:Contrebucions/AvicBot,True,False,False,False,False,False
an_Especial:Contrebucions/AvocatoBot,True,True,False,False,False,False
an_Especial:Contrebucions/BOTarate,False,False,False,False,False,False
an_Especial:Contrebucions/BotMultichill,True,False,False,False,False,False
an_Especial:Contrebucions/Byrialbot,True,False,False,False,False,False
an_Especial:Contrebucions/CHV,True,True,False,True,False,False
an_Especial:Contrebucions/CarsracBot,True,False,False,False,False,False
an_Especial:Contrebucions/Cembo123,False,False,False,False,False,False
an_Especial:Contrebucions/ChessBOT,True,False,False,False,False,False
an_Especial:Contrebucions/Chlewbot,True,False,False,True,False,False
an_Especial:Contrebucions/Chris_die_Seele,False,False,True,True,False,False
an_Especial:Contrebucions/ChuispastonBot,False,False,False,False,False,False
an_Especial:Contrebucions/Cocedi,False,False,False,False,False,False
an_Especial:Contrebucions/CocuBot,False,False,False,False,False,False
an_Especial:Contrebucions/Comandancia,False,False,False,False,False,False
an_Especial:Contrebucions/CommonsDelinker,True,False,False,False,False,False
an_Especial:Contrebucions/Culex,False,False,False,False,False,False
an_Especial:Contrebucions/Cyprianus_Marcus,False,False,False,False,False,False
an_Especial:Contrebucions/DEagleBot,True,False,False,True,False,False
an_Especial:Contrebucions/Diego_Grez_Bot,False,True,False,False,True,False
an_Especial:Contrebucions/DirlBot,False,False,False,False,False,False
an_Especial:Contrebucions/DixonDBot,False,False,False,False,False,False
an_Especial:Contrebucions/EBRO,False,False,False,False,False,False
an_Especial:Contrebucions/Ebrambot,True,True,False,False,False,False
an_Especial:Contrebucions/EduardoGG,False,True,False,False,True,False
an_Especial:Contrebucions/Egmontbot,False,False,False,False,False,False
an_Especial:Contrebucions/EmausBot,True,False,False,False,False,False
an_Especial:Contrebucions/Escarbot,True,False,False,False,False,False
an_Especial:Contrebucions/Etemenanki,True,True,False,False,True,False
an_Especial:Contrebucions/FoxBot,False,True,False,False,False,False
an_Especial:Contrebucions/Gato_Preto,False,True,False,False,False,False
an_Especial:Contrebucions/GhalyBot,False,True,False,False,False,False
an_Especial:Contrebucions/HerculeBot,False,False,False,False,False,False
an_Especial:Contrebucions/HiW-Bot,True,False,False,False,False,False
an_Especial:Contrebucions/Invadibot,False,True,False,False,False,False
an_Especial:Contrebucions/JAnDbot,False,False,False,False,False,False
an_Especial:Contrebucions/JackieBot,False,False,False,False,True,False
an_Especial:Contrebucions/Jembot,True,False,False,False,False,False
an_Especial:Contrebucions/Jpbot,True,False,False,False,False,False
an_Especial:Contrebucions/Juanpabl,True,True,False,False,False,False
an_Especial:Contrebucions/Justincheng12345-bot,True,False,False,False,False,False
an_Especial:Contrebucions/KLBot2,False,False,False,False,False,False
an_Especial:Contrebucions/Lascorz,True,False,False,False,False,False
an_Especial:Contrebucions/Le_Pied-bot~anwiki,True,True,False,False,False,False
an_Especial:Contrebucions/Loveless,False,False,False,False,False,False
an_Especial:Contrebucions/LucienBOT,False,False,False,False,False,False
an_Especial:Contrebucions/Luckas-bot,False,False,False,True,False,False
an_Especial:Contrebucions/MABot,True,False,False,False,False,False
an_Especial:Contrebucions/MahdiBot,True,True,False,False,False,False
an_Especial:Contrebucions/Maintenance_script,False,False,False,False,False,False
an_Especial:Contrebucions/Makecat-bot,False,False,False,False,False,False
an_Especial:Contrebucions/MediaWiki_default,False,False,False,False,False,False
an_Especial:Contrebucions/MediaWiki_message_delivery,True,True,False,False,False,False
an_Especial:Contrebucions/RadiX,False,False,False,False,False,False
an_Especial:Contrebucions/Richardkiwi,False,False,False,True,False,False
an_Especial:Contrebucions/Samat,False,False,False,True,False,False
an_Especial:Contrebucions/Shiesmine,False,False,False,True,False,False
an_Especial:Contrebucions/Thommy9,False,False,False,False,False,False
an_Especial:Contrebucions/Willtron,True,True,False,False,False,False
an_Especial:Contrebucions/Zumalabe,False,False,False,False,False,False
an_Especial:Creyar_cuenta,False,False,False,False,False,False
an_Especial:Encetar_sesión,True,False,False,False,False,False
an_Especial:Libro,True,False,False,False,False,False
an_Especial:Lista_d'usuarios,False,False,False,False,False,False
an_Especial:Todas_as_pachinas,False,False,False,False,False,False
an_Especial:Zaguers_cambeos,True,False,False,False,False,False
an_Imachen:IP_Address_Match.png,False,False,False,True,False,False
an_Imachen:Pix.gif,False,False,False,False,False,False
an_Portal:Portalada,True,False,False,True,False,False
an_Usuario:!_God~anwiki,True,False,False,False,False,False
an_Usuario:*Surak*,False,False,False,True,False,False
an_Usuario:-jem-,False,False,False,False,False,False
