words,counts
commons.m_File:Kosova_(Civar).jpg,6
commons.m_File:La_fessée_à_l'école.ogv,7
commons.m_File:Leonardo_da_Vinci_(1452-1519)_-_The_Last_Supper_(1495-1498).jpg,9
commons.m_File:Licensing_tutorial_en.svg,6
commons.m_File:Linux_Distribution_Timeline.svg,7
commons.m_File:Loading_icon.gif,12
commons.m_File:Logo_NIKE.svg,10
commons.m_File:Map_of_USA_with_state_names.svg,3
commons.m_File:Map_of_the_Great_Wall_of_China.jpg,5
commons.m_File:Massages.ogv,11
commons.m_File:Masturbation.jpg,8
commons.m_File:McDonalds_in_St_Petersburg_2004.JPG,16
commons.m_File:Microsoft_logo_(1987).svg,8
"commons.m_File:Mona_Lisa,_by_Leonardo_da_Vinci,_from_C2RMF_retouched.jpg",8
commons.m_File:Mona_Lisa.jpg,8
commons.m_File:Moscow_Ring_Railway_full_trip_-_view_from_ES2G_train.webm,5
commons.m_File:Mousquetaire_au_restaurant_part_2.ogv,8
commons.m_File:Museo_Ugo_Guidi_interno.jpg,6
commons.m_File:Orion_Head_to_Toe.jpg,11
commons.m_File:Osmanu-vilajeti-kosova.svg,8
commons.m_File:Paris_department_land_cover_location_map.jpg,5
commons.m_File:Periodic-table.jpg,5
commons.m_File:Pietra_Ugo_Guidi.jpg,6
commons.m_File:Poland_adm_location_map.svg,10
commons.m_File:Prevailing_world_religions_map_rus.png,10
commons.m_File:Project_1164_Moskva_2011.jpg,5
commons.m_File:Quantum_superposition_of_states_and_decoherence.ogv,6
commons.m_File:Queen_Liliuokalani.jpg,20
commons.m_File:Ragnar_Lodbroks_död_by_Hugo_Hamilton.jpg,6
commons.m_File:Rus-1015-1113.png,4
"commons.m_File:Russia._Moscow_Region._Winter_pine_wood,_lake_Kratovskoe_area.JPG",7
commons.m_File:Russia_political_location_map_(Crimea_disputed).svg,8
commons.m_File:Samsung_Logo.svg,11
commons.m_File:San_lorenzo_father_massa.jpg,10
commons.m_File:Sandro_Botticelli_-_La_Carte_de_l'Enfer.jpg,6
commons.m_File:Sandro_Botticelli_-_La_nascita_di_Venere_-_Google_Art_Project_-_edited.jpg,6
commons.m_File:Sarcoptes_scabiei.ogv,7
commons.m_File:Scanner_bw.png,5
commons.m_File:Schumann_resonance_animation.ogv,6
commons.m_File:Segundo_ramirez_1927.jpg,6
commons.m_File:Shaved_vulva_by_Flickr-user_Nude_Pictaker.jpg,13
commons.m_File:SkyyVodka750ml.jpg,8
commons.m_File:Spacecolony3edit.jpeg,9
commons.m_File:Spain_location_map.svg,6
commons.m_File:Speaker_Icon.svg,12
commons.m_File:Steve_ballmer_2007_outdoors.jpg,20
commons.m_File:Syrian_civil_war.png,8
commons.m_File:TAP_Portugal_Logo.svg,5
commons.m_File:Test_Case_Added.png,10
commons.m_File:The_First_Thanksgiving_cph.3g04961.jpg,9
commons.m_File:The_International_Phonetic_Alphabet_(revised_to_2015).pdf,10
"commons.m_File:The_Thinker,_Rodin.jpg",7
commons.m_File:The_time_before_safety_gear_came_around.jpg,3
commons.m_File:Trump_&_Clinton.jpg,11
commons.m_File:Turkey_adm_location_map.svg,7
commons.m_File:United_States_Navy_Band_-_Sweden.ogg,9
commons.m_File:Uploadwizard-categories.png,11
commons.m_File:Usa_edcp_location_map.svg,9
commons.m_File:Usa_edcp_relief_location_map.png,6
commons.m_File:Usdollar100front.jpg,5
commons.m_File:VK.com-logo.svg,2
commons.m_File:Vagina_-_Scheide.jpg,11
commons.m_File:Vagina_collage_08.jpg,11
commons.m_File:Vagina_collage_12.jpg,8
commons.m_File:West_Bank_Access_Restrictions.pdf,11
commons.m_File:Westhinder_II.jpg,5
commons.m_File:Wikiquote-logo.svg,6
commons.m_File:Wikisource-logo.svg,6
commons.m_File:World_laws_pertaining_to_homosexual_relationships_and_expression.svg,6
commons.m_File:Шпалерная_улица.jpg,5
commons.m_Forside,7
commons.m_Forsíða/fo,6
commons.m_Forsíða/is,5
commons.m_GNOME_Desktop_icons,7
commons.m_Glavna_stran,3
commons.m_Glavna_stranica_(sh),8
commons.m_Gustave_Doré,8
commons.m_Haadside,2
commons.m_Hafan,6
commons.m_Halaman_Utama,9
commons.m_Haudsiede_Commons,4
commons.m_Hauptsaitn,3
commons.m_Help:Contents,8
commons.m_Help:Contents/ar,4
commons.m_Help:Contents/arz,5
commons.m_Help:Contents/as,5
commons.m_Help:Contents/bg,5
commons.m_Help:Contents/bn,5
commons.m_Help:Contents/cs,5
commons.m_Help:Contents/cy,4
commons.m_Help:Contents/de,5
commons.m_Help:Contents/el,6
commons.m_Help:Contents/eo,6
commons.m_Help:Contents/es,5
commons.m_Help:Contents/et,4
commons.m_Help:Contents/eu,5
commons.m_Help:Contents/fa,5
commons.m_Help:Contents/fi,5
commons.m_Help:Contents/fr,4
commons.m_Help:Contents/gl,5
commons.m_Help:Contents/he,5
commons.m_Help:Contents/hi,4
commons.m_Help:Contents/hy,4
commons.m_Help:Contents/it,5
commons.m_Help:Contents/ja,5
commons.m_Help:Contents/km,5
commons.m_Help:Contents/ko,4
commons.m_Help:Contents/lb,5
commons.m_Help:Contents/mai,5
commons.m_Help:Contents/mk,5
commons.m_Help:Contents/ne,5
commons.m_Help:Contents/nl,5
commons.m_Help:Contents/oc,4
commons.m_Help:Contents/or,6
commons.m_Help:Contents/pl,6
commons.m_Help:Contents/pt,6
commons.m_Help:Contents/pt-br,7
commons.m_Help:Contents/ru,7
commons.m_Help:Contents/scn,5
commons.m_Help:Contents/sco,5
commons.m_Help:Contents/sd,5
commons.m_Help:Contents/su,5
commons.m_Help:Contents/sv,6
commons.m_Help:Contents/th,5
commons.m_Help:Contents/tr,6
commons.m_Help:Contents/uk,4
commons.m_Help:Contents/vi,5
commons.m_Help:Contents/zh,4
commons.m_Help:Contents/zh-hans,5
commons.m_Help:Contents/zh-hant,6
commons.m_Help:Converting_video,7
commons.m_Help:Creating_a_DjVu_file,8
commons.m_Help:Gadget-Cat-a-lot,6
commons.m_Help:Gadget-GallerySlideshow/OSDHelp,4
commons.m_Help:Inkscape,4
commons.m_Help:Namespaces,3
commons.m_Help:SVG,5
commons.m_Help:Scanning,7
commons.m_Help:VisualFileChange.js,9
commons.m_Help_talk:Contents,6
commons.m_Hoofdpagina,9
commons.m_Houptsyte,5
commons.m_Hovudside,3
commons.m_Hööftsiet,4
commons.m_Hłowna_strona,7
commons.m_Il-Paġna_prinċipali,6
commons.m_Image:AN_Jana_Cova_1.jpg,7
commons.m_Italia,7
commons.m_Jana_Cova,2
commons.m_Johannes_Vermeer,8
commons.m_Kunstformen_der_Natur,11
commons.m_Laman_Utama,3
commons.m_Library_of_Congress,8
commons.m_Main_Page,10
commons.m_Main_page,5
commons.m_Maps_of_the_world,7
commons.m_Masturbation,3
commons.m_MediaWiki:Gadget-WatchlistNotice.js,3
commons.m_MediaWiki:Uploadnologintext,9
commons.m_MediaWiki:Uploadnologintext/ja,7
commons.m_Nude,5
commons.m_Ojúewé_Àkọ́kọ́,9
commons.m_Pache_picarte,5
commons.m_Paggena_prencepale,9
commons.m_Pagina_prima,4
commons.m_Pagina_principal,4
commons.m_Pagina_principală,5
commons.m_Pamuklat,4
commons.m_Paris,7
commons.m_Pela_Seri,2
commons.m_Penis,12
commons.m_Pornography,5
commons.m_Portada,6
commons.m_Portada_galega,4
commons.m_Portalada,6
commons.m_Przodńo_zajta,7
commons.m_Príomhleathanach,6
commons.m_Páhina_prencipal,8
commons.m_Páigina_percipal,9
commons.m_Sexual_identity_symbols,4
commons.m_Special:AbuseLog,11
commons.m_Special:Book,11
commons.m_Special:BookSources/9783940785572,9
commons.m_Special:CiteThisPage,10
commons.m_Special:Contributions,11
commons.m_Special:Contributions/Fæ,10
commons.m_Special:Contributions/LX,6
commons.m_Special:Contributions/Martin_of_Sheffield,1
commons.m_Special:Contributions/YiFeiBot,4
commons.m_Special:Contributions/Yodalejedi,5
commons.m_Special:CreateAccount,11
commons.m_Special:EditWatchlist,10
commons.m_Special:FeedItem/potd/20170104000000/en,0
commons.m_Special:GlobalUsage,10
commons.m_Special:LanguageStats,7
commons.m_Special:ListFiles,5
commons.m_Special:Log,10
commons.m_Special:Log/upload,9
commons.m_Special:MovePage,8
commons.m_Special:MyContributions,7
commons.m_Special:MyLanguage/Commons:2D_copying,4
commons.m_Special:MyLanguage/Commons:Administrators/De-adminship,6
commons.m_Special:MyLanguage/Commons:Assume_good_faith,7
commons.m_Special:MyLanguage/Commons:Bad_sources,5
commons.m_Special:MyLanguage/Commons:Blocking_policy,6
commons.m_Special:MyLanguage/Commons:Categories,3
commons.m_Special:MyLanguage/Commons:Choosing_a_license,6
commons.m_Special:MyLanguage/Commons:ComeOn!,7
commons.m_Special:MyLanguage/Commons:Command-line_upload,5
commons.m_Special:MyLanguage/Commons:Commonist,7
commons.m_Special:MyLanguage/Commons:Community_portal,5
commons.m_Special:MyLanguage/Commons:Contact_us,10
commons.m_Special:MyLanguage/Commons:Contact_us/Problems,4
commons.m_Special:MyLanguage/Commons:Contact_us/Reuse,9
commons.m_Special:MyLanguage/Commons:Copyright_rules,6
commons.m_Special:MyLanguage/Commons:Copyright_rules_by_subject_matter,7
commons.m_Special:MyLanguage/Commons:Copyright_rules_by_territory,5
commons.m_Special:MyLanguage/Commons:Credit_line,4
commons.m_Special:MyLanguage/Commons:Criteria_for_speedy_deletion,6
commons.m_Special:MyLanguage/Commons:Currency,8
commons.m_Special:MyLanguage/Commons:De_minimis,5
commons.m_Special:MyLanguage/Commons:Deletion_policy,7
commons.m_Special:MyLanguage/Commons:Deletion_requests/All_files_copyrighted_in_the_US_under_the_URAA,7
commons.m_Special:MyLanguage/Commons:Derivative_works,4
commons.m_Special:MyLanguage/Commons:Fair_use,4
commons.m_Special:MyLanguage/Commons:Fan_art,6
commons.m_Special:MyLanguage/Commons:File_renaming,5
commons.m_Special:MyLanguage/Commons:First_steps/Contributing,3
commons.m_Special:MyLanguage/Commons:Flickr_files,4
commons.m_Special:MyLanguage/Commons:Freedom_of_panorama,7
commons.m_Special:MyLanguage/Commons:GLAMwiki_Toolset,6
commons.m_Special:MyLanguage/Commons:Galleries,6
commons.m_Special:MyLanguage/Commons:General_disclaimer,7
commons.m_Special:MyLanguage/Commons:Grandfathered_old_files,6
commons.m_Special:MyLanguage/Commons:How_to_detect_copyright_violations,5
commons.m_Special:MyLanguage/Commons:Image_annotations,4
commons.m_Special:MyLanguage/Commons:KIPI_uploader,5
commons.m_Special:MyLanguage/Commons:Language_policy,6
commons.m_Special:MyLanguage/Commons:License_laundering,4
commons.m_Special:MyLanguage/Commons:License_review,7
commons.m_Special:MyLanguage/Commons:Licensing,4
commons.m_Special:MyLanguage/Commons:Licensing/Justifications,7
commons.m_Special:MyLanguage/Commons:LrMediaWiki,5
commons.m_Special:MyLanguage/Commons:Media_of_the_day,3
commons.m_Special:MyLanguage/Commons:Multi-licensing,8
commons.m_Special:MyLanguage/Commons:Non-copyright_restrictions,5
commons.m_Special:MyLanguage/Commons:Nudity,6
commons.m_Special:MyLanguage/Commons:Ownership_of_pages_and_files,7
commons.m_Special:MyLanguage/Commons:PD_files,6
commons.m_Special:MyLanguage/Commons:Patrol,6
commons.m_Special:MyLanguage/Commons:Pattypan,6
commons.m_Special:MyLanguage/Commons:Picasa_Web_Albums_files,5
commons.m_Special:MyLanguage/Commons:Policies_and_guidelines,5
commons.m_Special:MyLanguage/Commons:Privacy_policy,7
commons.m_Special:MyLanguage/Commons:Problematic_sources,6
commons.m_Special:MyLanguage/Commons:Project_scope,6
commons.m_Special:MyLanguage/Commons:Project_scope/Allowable_file_types,6
commons.m_Special:MyLanguage/Commons:Project_scope/Evidence,6
commons.m_Special:MyLanguage/Commons:Project_scope/Neutral_point_of_view,7
"commons.m_Special:MyLanguage/Commons:Project_scope/Pages,_galleries_and_categories",5
commons.m_Special:MyLanguage/Commons:Project_scope/Precautionary_principle,5
commons.m_Special:MyLanguage/Commons:Protection_policy,5
commons.m_Special:MyLanguage/Commons:Requests_for_comment/PD_review,5
commons.m_Special:MyLanguage/Commons:Reuse_of_PD-Art_photographs,4
commons.m_Special:MyLanguage/Commons:Rollback,5
commons.m_Special:MyLanguage/Commons:Screenshots,6
commons.m_Special:MyLanguage/Commons:Signatures,8
commons.m_Special:MyLanguage/Commons:Stamps/Public_domain,8
commons.m_Special:MyLanguage/Commons:Stock.xchng_images,6
commons.m_Special:MyLanguage/Commons:Talk_page_guidelines,3
commons.m_Special:MyLanguage/Commons:Threshold_of_originality,5
commons.m_Special:MyLanguage/Commons:Translation_administrators/Policy,6
commons.m_Special:MyLanguage/Commons:URAA-restored_copyrights,8
commons.m_Special:MyLanguage/Commons:Upload_Wizard,7
commons.m_Special:MyLanguage/Commons:Upload_tools,6
"commons.m_Special:MyLanguage/Commons:User-specific_galleries,_templates_and_categories_policy",5
commons.m_Special:MyLanguage/Commons:Username_policy,7
commons.m_Special:MyLanguage/Commons:Vandalism,7
commons.m_Special:MyLanguage/Commons:VicuñaUploader,6
