words,THRESH_1.2,THRESH_1.5,THRESH_1.8
children,15,0,0
same,61,22,7
baby,48,14,4
caught,7,0,0
chinese,45,17,9
though,45,4,2
~,56,10,2
sports,29,3,0
pressure,4,0,0
off,59,15,1
