de_Lacrosse,3,5,6,5,2,12,4,8,6,1,7.0,9.0,2,2,3.0,2,1.0,0.0,0,2,1.0,0.0,2,1.0,0.0,2.0,2.0,6,2.0,2.0,5,1.0,4.0,13.0,4.0,8.0,3.0,3,3.0,3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,3.0,10.0,8.0,10.0,3.0,11.0,11.0,8.0,10.0,24.0,10.0,4.0,4.0,3,5,6,5,2,12,4,8,6,1,7.0,9.0,2,2,3.0,2,1.0,0.0,0,2,1.0,0.0,2,1.0,0.0,2.0,2.0,6,2.0,2.0,5,1.0,4.0,13.0,4.0,8.0,3.0,3,3.0,3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,3.0,10.0,8.0,10.0,3.0,11.0,11.0,8.0,10.0,24.0,10.0,4.0,4.0,3,5,6,5,2,12,4,8,6,1,7.0,9.0,2,2,3.0,2,1.0,0.0,0,2,1.0,0.0,2,1.0,0.0,2.0,2.0,6,2.0,2.0,5,1.0,4.0,13.0,4.0,8.0,3.0,3,3.0,3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,3.0,10.0,8.0,10.0,3.0,11.0,11.0,8.0,10.0,24.0,10.0,4.0,4.0,3,5,6,5,2,12,4,8,6,1,7.0,9.0,2,2,3.0,2,1.0,0.0,0,2,1.0,0.0,2,1.0,0.0,2.0,2.0,6,2.0,2.0,5,1.0,4.0,13.0,4.0,8.0,3.0,3,3.0,3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,3.0,10.0,8.0,10.0,3.0,11.0,11.0,8.0,10.0,24.0,10.0,4.0,4.0,3,5,6,5,2,12,4,8,6,1,7.0,9.0,2,2,3.0,2,1.0,0.0,0,2,1.0,0.0,2,1.0,0.0,2.0,2.0,6,2.0,2.0,5,1.0,4.0,13.0,4.0,8.0,3.0,3,3.0,3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,3.0,10.0,8.0,10.0,3.0,11.0,11.0,8.0,10.0,24.0,10.0,4.0,4.0,3,5,6,5,2,12,4,8,6,1,7.0,9.0,2,2,3.0,2,1.0,0.0,0,2,1.0,0.0,2,1.0,0.0,2.0,2.0,6,2.0,2.0,5,1.0,4.0,13.0,4.0,8.0,3.0,3,3.0,3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,3.0,10.0,8.0,10.0,3.0,11.0,11.0,8.0,10.0,24.0,10.0,4.0,4.0
ar.m_محمد_بركات,1,1,2,0,2,3,2,5,2,6,3.0,10.0,4,9,1.0,7,2.0,2.0,1,1,1.0,1.0,0,0.0,1.0,5.0,1.0,4,6.0,4.0,3,1.0,5.0,3.0,3.0,1.0,3.0,9,5.0,4,12.0,4.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,4.0,0.0,4.0,11.0,4.0,6.0,3.0,9.0,7.0,4.0,1,1,2,0,2,3,2,5,2,6,3.0,10.0,4,9,1.0,7,2.0,2.0,1,1,1.0,1.0,0,0.0,1.0,5.0,1.0,4,6.0,4.0,3,1.0,5.0,3.0,3.0,1.0,3.0,9,5.0,4,12.0,4.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,4.0,0.0,4.0,11.0,4.0,6.0,3.0,9.0,7.0,4.0,1,1,2,0,2,3,2,5,2,6,3.0,10.0,4,9,1.0,7,2.0,2.0,1,1,1.0,1.0,0,0.0,1.0,5.0,1.0,4,6.0,4.0,3,1.0,5.0,3.0,3.0,1.0,3.0,9,5.0,4,12.0,4.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,4.0,0.0,4.0,11.0,4.0,6.0,3.0,9.0,7.0,4.0,1,1,2,0,2,3,2,5,2,6,3.0,10.0,4,9,1.0,7,2.0,2.0,1,1,1.0,1.0,0,0.0,1.0,5.0,1.0,4,6.0,4.0,3,1.0,5.0,3.0,3.0,1.0,3.0,9,5.0,4,12.0,4.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,4.0,0.0,4.0,11.0,4.0,6.0,3.0,9.0,7.0,4.0,1,1,2,0,2,3,2,5,2,6,3.0,10.0,4,9,1.0,7,2.0,2.0,1,1,1.0,1.0,0,0.0,1.0,5.0,1.0,4,6.0,4.0,3,1.0,5.0,3.0,3.0,1.0,3.0,9,5.0,4,12.0,4.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,4.0,0.0,4.0,11.0,4.0,6.0,3.0,9.0,7.0,4.0,1,1,2,0,2,3,2,5,2,6,3.0,10.0,4,9,1.0,7,2.0,2.0,1,1,1.0,1.0,0,0.0,1.0,5.0,1.0,4,6.0,4.0,3,1.0,5.0,3.0,3.0,1.0,3.0,9,5.0,4,12.0,4.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,4.0,0.0,4.0,11.0,4.0,6.0,3.0,9.0,7.0,4.0
de_Österreich-Ungarns_Heer_im_Ersten_Weltkrieg,2,4,6,3,11,7,15,8,10,2,3.0,7.0,5,12,8.0,3,2.0,2.0,0,1,0.0,0.0,0,1.0,1.0,0.0,5.0,1,0.0,5.0,0,9.0,4.0,14.0,4.0,4.0,2.0,11,11.0,1,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,5.0,5.0,5.0,7.0,6.0,4.0,8.0,8.0,4.0,5.0,2.0,6.0,1.0,4.0,2.0,2,4,6,3,11,7,15,8,10,2,3.0,7.0,5,12,8.0,3,2.0,2.0,0,1,0.0,0.0,0,1.0,1.0,0.0,5.0,1,0.0,5.0,0,9.0,4.0,14.0,4.0,4.0,2.0,11,11.0,1,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,5.0,5.0,5.0,7.0,6.0,4.0,8.0,8.0,4.0,5.0,2.0,6.0,1.0,4.0,2.0,2,4,6,3,11,7,15,8,10,2,3.0,7.0,5,12,8.0,3,2.0,2.0,0,1,0.0,0.0,0,1.0,1.0,0.0,5.0,1,0.0,5.0,0,9.0,4.0,14.0,4.0,4.0,2.0,11,11.0,1,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,5.0,5.0,5.0,7.0,6.0,4.0,8.0,8.0,4.0,5.0,2.0,6.0,1.0,4.0,2.0,2,4,6,3,11,7,15,8,10,2,3.0,7.0,5,12,8.0,3,2.0,2.0,0,1,0.0,0.0,0,1.0,1.0,0.0,5.0,1,0.0,5.0,0,9.0,4.0,14.0,4.0,4.0,2.0,11,11.0,1,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,5.0,5.0,5.0,7.0,6.0,4.0,8.0,8.0,4.0,5.0,2.0,6.0,1.0,4.0,2.0,2,4,6,3,11,7,15,8,10,2,3.0,7.0,5,12,8.0,3,2.0,2.0,0,1,0.0,0.0,0,1.0,1.0,0.0,5.0,1,0.0,5.0,0,9.0,4.0,14.0,4.0,4.0,2.0,11,11.0,1,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,5.0,5.0,5.0,7.0,6.0,4.0,8.0,8.0,4.0,5.0,2.0,6.0,1.0,4.0,2.0,2,4,6,3,11,7,15,8,10,2,3.0,7.0,5,12,8.0,3,2.0,2.0,0,1,0.0,0.0,0,1.0,1.0,0.0,5.0,1,0.0,5.0,0,9.0,4.0,14.0,4.0,4.0,2.0,11,11.0,1,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,5.0,5.0,5.0,7.0,6.0,4.0,8.0,8.0,4.0,5.0,2.0,6.0,1.0,4.0,2.0
de_Fantomas_(1964),1,2,5,5,2,7,5,5,10,3,5.0,3.0,3,7,4.0,2,4.0,5.0,0,5,1.0,0.0,0,0.0,0.0,2.0,3.0,1,4.0,5.0,3,4.0,2.0,5.0,6.0,8.0,6.0,7,9.0,0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,5.0,12.0,7.0,2.0,7.0,3.0,3.0,12.0,11.0,9.0,10.0,14.0,5.0,8.0,2.0,1,2,5,5,2,7,5,5,10,3,5.0,3.0,3,7,4.0,2,4.0,5.0,0,5,1.0,0.0,0,0.0,0.0,2.0,3.0,1,4.0,5.0,3,4.0,2.0,5.0,6.0,8.0,6.0,7,9.0,0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,5.0,12.0,7.0,2.0,7.0,3.0,3.0,12.0,11.0,9.0,10.0,14.0,5.0,8.0,2.0,1,2,5,5,2,7,5,5,10,3,5.0,3.0,3,7,4.0,2,4.0,5.0,0,5,1.0,0.0,0,0.0,0.0,2.0,3.0,1,4.0,5.0,3,4.0,2.0,5.0,6.0,8.0,6.0,7,9.0,0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,5.0,12.0,7.0,2.0,7.0,3.0,3.0,12.0,11.0,9.0,10.0,14.0,5.0,8.0,2.0,1,2,5,5,2,7,5,5,10,3,5.0,3.0,3,7,4.0,2,4.0,5.0,0,5,1.0,0.0,0,0.0,0.0,2.0,3.0,1,4.0,5.0,3,4.0,2.0,5.0,6.0,8.0,6.0,7,9.0,0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,5.0,12.0,7.0,2.0,7.0,3.0,3.0,12.0,11.0,9.0,10.0,14.0,5.0,8.0,2.0,1,2,5,5,2,7,5,5,10,3,5.0,3.0,3,7,4.0,2,4.0,5.0,0,5,1.0,0.0,0,0.0,0.0,2.0,3.0,1,4.0,5.0,3,4.0,2.0,5.0,6.0,8.0,6.0,7,9.0,0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,5.0,12.0,7.0,2.0,7.0,3.0,3.0,12.0,11.0,9.0,10.0,14.0,5.0,8.0,2.0,1,2,5,5,2,7,5,5,10,3,5.0,3.0,3,7,4.0,2,4.0,5.0,0,5,1.0,0.0,0,0.0,0.0,2.0,3.0,1,4.0,5.0,3,4.0,2.0,5.0,6.0,8.0,6.0,7,9.0,0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,5.0,12.0,7.0,2.0,7.0,3.0,3.0,12.0,11.0,9.0,10.0,14.0,5.0,8.0,2.0
de_Dissen_(Umgangssprache),1,4,5,4,2,6,6,13,19,18,2.0,1.0,4,3,2.0,3,1.0,1.0,0,1,1.0,0.0,0,0.0,1.0,2.0,1.0,3,2.0,1.0,5,2.0,4.0,2.0,5.0,5.0,3.0,1,3.0,2,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,1.0,3.0,3.0,4.0,4.0,2.0,0.0,4.0,3.0,6.0,5.0,0.0,0.0,1,4,5,4,2,6,6,13,19,18,2.0,1.0,4,3,2.0,3,1.0,1.0,0,1,1.0,0.0,0,0.0,1.0,2.0,1.0,3,2.0,1.0,5,2.0,4.0,2.0,5.0,5.0,3.0,1,3.0,2,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,1.0,3.0,3.0,4.0,4.0,2.0,0.0,4.0,3.0,6.0,5.0,0.0,0.0,1,4,5,4,2,6,6,13,19,18,2.0,1.0,4,3,2.0,3,1.0,1.0,0,1,1.0,0.0,0,0.0,1.0,2.0,1.0,3,2.0,1.0,5,2.0,4.0,2.0,5.0,5.0,3.0,1,3.0,2,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,1.0,3.0,3.0,4.0,4.0,2.0,0.0,4.0,3.0,6.0,5.0,0.0,0.0,1,4,5,4,2,6,6,13,19,18,2.0,1.0,4,3,2.0,3,1.0,1.0,0,1,1.0,0.0,0,0.0,1.0,2.0,1.0,3,2.0,1.0,5,2.0,4.0,2.0,5.0,5.0,3.0,1,3.0,2,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,1.0,3.0,3.0,4.0,4.0,2.0,0.0,4.0,3.0,6.0,5.0,0.0,0.0,1,4,5,4,2,6,6,13,19,18,2.0,1.0,4,3,2.0,3,1.0,1.0,0,1,1.0,0.0,0,0.0,1.0,2.0,1.0,3,2.0,1.0,5,2.0,4.0,2.0,5.0,5.0,3.0,1,3.0,2,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,1.0,3.0,3.0,4.0,4.0,2.0,0.0,4.0,3.0,6.0,5.0,0.0,0.0,1,4,5,4,2,6,6,13,19,18,2.0,1.0,4,3,2.0,3,1.0,1.0,0,1,1.0,0.0,0,0.0,1.0,2.0,1.0,3,2.0,1.0,5,2.0,4.0,2.0,5.0,5.0,3.0,1,3.0,2,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,1.0,3.0,3.0,4.0,4.0,2.0,0.0,4.0,3.0,6.0,5.0,0.0,0.0
de.m_ATP_Doha,1,0,0,1,3,6,1,7,7,8,9.0,3.0,3,5,8.0,4,5.0,3.0,0,0,0.0,0.0,0,2.0,1.0,2.0,7.0,3,3.0,4.0,1,4.0,43.0,109.0,114.0,103.0,25.0,13,19.0,12,15.0,6.0,5.0,1.0,0.0,0.0,1.0,4.0,0.0,7.0,7.0,8.0,7.0,3.0,5.0,4.0,5.0,3.0,2.0,5.0,2.0,2.0,1.0,0.0,1,0,0,1,3,6,1,7,7,8,9.0,3.0,3,5,8.0,4,5.0,3.0,0,0,0.0,0.0,0,2.0,1.0,2.0,7.0,3,3.0,4.0,1,4.0,43.0,109.0,114.0,103.0,25.0,13,19.0,12,15.0,6.0,5.0,1.0,0.0,0.0,1.0,4.0,0.0,7.0,7.0,8.0,7.0,3.0,5.0,4.0,5.0,3.0,2.0,5.0,2.0,2.0,1.0,0.0,1,0,0,1,3,6,1,7,7,8,9.0,3.0,3,5,8.0,4,5.0,3.0,0,0,0.0,0.0,0,2.0,1.0,2.0,7.0,3,3.0,4.0,1,4.0,43.0,109.0,114.0,103.0,25.0,13,19.0,12,15.0,6.0,5.0,1.0,0.0,0.0,1.0,4.0,0.0,7.0,7.0,8.0,7.0,3.0,5.0,4.0,5.0,3.0,2.0,5.0,2.0,2.0,1.0,0.0,1,0,0,1,3,6,1,7,7,8,9.0,3.0,3,5,8.0,4,5.0,3.0,0,0,0.0,0.0,0,2.0,1.0,2.0,7.0,3,3.0,4.0,1,4.0,43.0,109.0,114.0,103.0,25.0,13,19.0,12,15.0,6.0,5.0,1.0,0.0,0.0,1.0,4.0,0.0,7.0,7.0,8.0,7.0,3.0,5.0,4.0,5.0,3.0,2.0,5.0,2.0,2.0,1.0,0.0,1,0,0,1,3,6,1,7,7,8,9.0,3.0,3,5,8.0,4,5.0,3.0,0,0,0.0,0.0,0,2.0,1.0,2.0,7.0,3,3.0,4.0,1,4.0,43.0,109.0,114.0,103.0,25.0,13,19.0,12,15.0,6.0,5.0,1.0,0.0,0.0,1.0,4.0,0.0,7.0,7.0,8.0,7.0,3.0,5.0,4.0,5.0,3.0,2.0,5.0,2.0,2.0,1.0,0.0,1,0,0,1,3,6,1,7,7,8,9.0,3.0,3,5,8.0,4,5.0,3.0,0,0,0.0,0.0,0,2.0,1.0,2.0,7.0,3,3.0,4.0,1,4.0,43.0,109.0,114.0,103.0,25.0,13,19.0,12,15.0,6.0,5.0,1.0,0.0,0.0,1.0,4.0,0.0,7.0,7.0,8.0,7.0,3.0,5.0,4.0,5.0,3.0,2.0,5.0,2.0,2.0,1.0,0.0
ar.zero_بري_أولسون,2,3,0,2,1,2,2,3,0,1,3.0,2.0,3,5,2.0,1,3.0,2.0,6,2,0.0,1.0,1,2.0,5.0,1.0,1.0,1,1.0,2.0,1,2.0,0.0,1.0,1.0,2.0,2.0,2,2.0,2,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,7.0,1.0,0.0,2.0,1.0,6.0,0.0,2.0,1.0,5.0,2,3,0,2,1,2,2,3,0,1,3.0,2.0,3,5,2.0,1,3.0,2.0,6,2,0.0,1.0,1,2.0,5.0,1.0,1.0,1,1.0,2.0,1,2.0,0.0,1.0,1.0,2.0,2.0,2,2.0,2,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,7.0,1.0,0.0,2.0,1.0,6.0,0.0,2.0,1.0,5.0,2,3,0,2,1,2,2,3,0,1,3.0,2.0,3,5,2.0,1,3.0,2.0,6,2,0.0,1.0,1,2.0,5.0,1.0,1.0,1,1.0,2.0,1,2.0,0.0,1.0,1.0,2.0,2.0,2,2.0,2,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,7.0,1.0,0.0,2.0,1.0,6.0,0.0,2.0,1.0,5.0,2,3,0,2,1,2,2,3,0,1,3.0,2.0,3,5,2.0,1,3.0,2.0,6,2,0.0,1.0,1,2.0,5.0,1.0,1.0,1,1.0,2.0,1,2.0,0.0,1.0,1.0,2.0,2.0,2,2.0,2,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,7.0,1.0,0.0,2.0,1.0,6.0,0.0,2.0,1.0,5.0,2,3,0,2,1,2,2,3,0,1,3.0,2.0,3,5,2.0,1,3.0,2.0,6,2,0.0,1.0,1,2.0,5.0,1.0,1.0,1,1.0,2.0,1,2.0,0.0,1.0,1.0,2.0,2.0,2,2.0,2,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,7.0,1.0,0.0,2.0,1.0,6.0,0.0,2.0,1.0,5.0,2,3,0,2,1,2,2,3,0,1,3.0,2.0,3,5,2.0,1,3.0,2.0,6,2,0.0,1.0,1,2.0,5.0,1.0,1.0,1,1.0,2.0,1,2.0,0.0,1.0,1.0,2.0,2.0,2,2.0,2,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,7.0,1.0,0.0,2.0,1.0,6.0,0.0,2.0,1.0,5.0
ar.m_ريما_مكتبي,3,2,3,5,14,6,8,9,7,2,5.0,5.0,4,8,5.0,5,7.0,3.0,1,2,4.0,4.0,0,3.0,4.0,2.0,4.0,3,4.0,1.0,3,3.0,1.0,5.0,2.0,5.0,7.0,11,9.0,1,9.0,2.0,4.0,1.0,1.0,1.0,0.0,3.0,4.0,3.0,0.0,6.0,3.0,0.0,1.0,2.0,5.0,3.0,6.0,7.0,6.0,3.0,6.0,2.0,3,2,3,5,14,6,8,9,7,2,5.0,5.0,4,8,5.0,5,7.0,3.0,1,2,4.0,4.0,0,3.0,4.0,2.0,4.0,3,4.0,1.0,3,3.0,1.0,5.0,2.0,5.0,7.0,11,9.0,1,9.0,2.0,4.0,1.0,1.0,1.0,0.0,3.0,4.0,3.0,0.0,6.0,3.0,0.0,1.0,2.0,5.0,3.0,6.0,7.0,6.0,3.0,6.0,2.0,3,2,3,5,14,6,8,9,7,2,5.0,5.0,4,8,5.0,5,7.0,3.0,1,2,4.0,4.0,0,3.0,4.0,2.0,4.0,3,4.0,1.0,3,3.0,1.0,5.0,2.0,5.0,7.0,11,9.0,1,9.0,2.0,4.0,1.0,1.0,1.0,0.0,3.0,4.0,3.0,0.0,6.0,3.0,0.0,1.0,2.0,5.0,3.0,6.0,7.0,6.0,3.0,6.0,2.0,3,2,3,5,14,6,8,9,7,2,5.0,5.0,4,8,5.0,5,7.0,3.0,1,2,4.0,4.0,0,3.0,4.0,2.0,4.0,3,4.0,1.0,3,3.0,1.0,5.0,2.0,5.0,7.0,11,9.0,1,9.0,2.0,4.0,1.0,1.0,1.0,0.0,3.0,4.0,3.0,0.0,6.0,3.0,0.0,1.0,2.0,5.0,3.0,6.0,7.0,6.0,3.0,6.0,2.0,3,2,3,5,14,6,8,9,7,2,5.0,5.0,4,8,5.0,5,7.0,3.0,1,2,4.0,4.0,0,3.0,4.0,2.0,4.0,3,4.0,1.0,3,3.0,1.0,5.0,2.0,5.0,7.0,11,9.0,1,9.0,2.0,4.0,1.0,1.0,1.0,0.0,3.0,4.0,3.0,0.0,6.0,3.0,0.0,1.0,2.0,5.0,3.0,6.0,7.0,6.0,3.0,6.0,2.0,3,2,3,5,14,6,8,9,7,2,5.0,5.0,4,8,5.0,5,7.0,3.0,1,2,4.0,4.0,0,3.0,4.0,2.0,4.0,3,4.0,1.0,3,3.0,1.0,5.0,2.0,5.0,7.0,11,9.0,1,9.0,2.0,4.0,1.0,1.0,1.0,0.0,3.0,4.0,3.0,0.0,6.0,3.0,0.0,1.0,2.0,5.0,3.0,6.0,7.0,6.0,3.0,6.0,2.0
de.m_Apostolisches_Glaubensbekenntnis,3,3,6,5,4,9,3,8,9,5,5.0,4.0,9,5,4.0,7,6.0,3.0,0,2,1.0,0.0,1,2.0,1.0,0.0,4.0,2,3.0,5.0,5,7.0,10.0,3.0,11.0,7.0,9.0,13,11.0,11,3.0,8.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,9.0,13.0,7.0,6.0,17.0,6.0,12.0,5.0,7.0,8.0,7.0,7.0,6.0,6.0,2.0,3,3,6,5,4,9,3,8,9,5,5.0,4.0,9,5,4.0,7,6.0,3.0,0,2,1.0,0.0,1,2.0,1.0,0.0,4.0,2,3.0,5.0,5,7.0,10.0,3.0,11.0,7.0,9.0,13,11.0,11,3.0,8.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,9.0,13.0,7.0,6.0,17.0,6.0,12.0,5.0,7.0,8.0,7.0,7.0,6.0,6.0,2.0,3,3,6,5,4,9,3,8,9,5,5.0,4.0,9,5,4.0,7,6.0,3.0,0,2,1.0,0.0,1,2.0,1.0,0.0,4.0,2,3.0,5.0,5,7.0,10.0,3.0,11.0,7.0,9.0,13,11.0,11,3.0,8.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,9.0,13.0,7.0,6.0,17.0,6.0,12.0,5.0,7.0,8.0,7.0,7.0,6.0,6.0,2.0,3,3,6,5,4,9,3,8,9,5,5.0,4.0,9,5,4.0,7,6.0,3.0,0,2,1.0,0.0,1,2.0,1.0,0.0,4.0,2,3.0,5.0,5,7.0,10.0,3.0,11.0,7.0,9.0,13,11.0,11,3.0,8.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,9.0,13.0,7.0,6.0,17.0,6.0,12.0,5.0,7.0,8.0,7.0,7.0,6.0,6.0,2.0,3,3,6,5,4,9,3,8,9,5,5.0,4.0,9,5,4.0,7,6.0,3.0,0,2,1.0,0.0,1,2.0,1.0,0.0,4.0,2,3.0,5.0,5,7.0,10.0,3.0,11.0,7.0,9.0,13,11.0,11,3.0,8.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,9.0,13.0,7.0,6.0,17.0,6.0,12.0,5.0,7.0,8.0,7.0,7.0,6.0,6.0,2.0,3,3,6,5,4,9,3,8,9,5,5.0,4.0,9,5,4.0,7,6.0,3.0,0,2,1.0,0.0,1,2.0,1.0,0.0,4.0,2,3.0,5.0,5,7.0,10.0,3.0,11.0,7.0,9.0,13,11.0,11,3.0,8.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,9.0,13.0,7.0,6.0,17.0,6.0,12.0,5.0,7.0,8.0,7.0,7.0,6.0,6.0,2.0
ar.m_مدحت_صالح,2,0,1,4,2,6,4,5,3,9,5.0,12.0,7,8,6.0,7,10.0,3.0,1,3,1.0,2.0,0,2.0,2.0,0.0,2.0,1,4.0,2.0,2,1.0,5.0,1.0,6.0,4.0,2.0,7,4.0,5,2.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,6.0,6.0,3.0,2.0,7.0,17.0,11.0,11.0,7.0,22.0,2,0,1,4,2,6,4,5,3,9,5.0,12.0,7,8,6.0,7,10.0,3.0,1,3,1.0,2.0,0,2.0,2.0,0.0,2.0,1,4.0,2.0,2,1.0,5.0,1.0,6.0,4.0,2.0,7,4.0,5,2.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,6.0,6.0,3.0,2.0,7.0,17.0,11.0,11.0,7.0,22.0,2,0,1,4,2,6,4,5,3,9,5.0,12.0,7,8,6.0,7,10.0,3.0,1,3,1.0,2.0,0,2.0,2.0,0.0,2.0,1,4.0,2.0,2,1.0,5.0,1.0,6.0,4.0,2.0,7,4.0,5,2.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,6.0,6.0,3.0,2.0,7.0,17.0,11.0,11.0,7.0,22.0,2,0,1,4,2,6,4,5,3,9,5.0,12.0,7,8,6.0,7,10.0,3.0,1,3,1.0,2.0,0,2.0,2.0,0.0,2.0,1,4.0,2.0,2,1.0,5.0,1.0,6.0,4.0,2.0,7,4.0,5,2.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,6.0,6.0,3.0,2.0,7.0,17.0,11.0,11.0,7.0,22.0,2,0,1,4,2,6,4,5,3,9,5.0,12.0,7,8,6.0,7,10.0,3.0,1,3,1.0,2.0,0,2.0,2.0,0.0,2.0,1,4.0,2.0,2,1.0,5.0,1.0,6.0,4.0,2.0,7,4.0,5,2.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,6.0,6.0,3.0,2.0,7.0,17.0,11.0,11.0,7.0,22.0,2,0,1,4,2,6,4,5,3,9,5.0,12.0,7,8,6.0,7,10.0,3.0,1,3,1.0,2.0,0,2.0,2.0,0.0,2.0,1,4.0,2.0,2,1.0,5.0,1.0,6.0,4.0,2.0,7,4.0,5,2.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,6.0,6.0,3.0,2.0,7.0,17.0,11.0,11.0,7.0,22.0
