Unnamed: 0,words,rmse,trend_points
91,commons.m_Help:Contents/eo,15.406560504181227,9
92,commons.m_Help:Contents/es,20.415965438582717,8
93,commons.m_Help:Contents/et,16.333269293120207,9
94,commons.m_Help:Contents/eu,19.968089225463515,8
95,commons.m_Help:Contents/fa,20.073360680614236,7
96,commons.m_Help:Contents/fi,16.920221066150905,12
97,commons.m_Help:Contents/fr,23.057439283227442,8
98,commons.m_Help:Contents/gl,21.24725858801763,8
99,commons.m_Help:Contents/he,19.968089225463515,8
100,commons.m_Help:Contents/hi,18.931534976477245,10
101,commons.m_Help:Contents/hy,16.333269293120207,9
102,commons.m_Help:Contents/it,20.08013131923731,9
103,commons.m_Help:Contents/ja,17.804002569616657,7
104,commons.m_Help:Contents/km,20.09755101718054,8
105,commons.m_Help:Contents/ko,16.333269293120207,9
106,commons.m_Help:Contents/lb,19.968089225463515,8
107,commons.m_Help:Contents/mai,20.073360680614236,7
108,commons.m_Help:Contents/mk,20.481538739338568,9
109,commons.m_Help:Contents/ne,20.56357535342387,9
110,commons.m_Help:Contents/nl,20.067736179757237,8
111,commons.m_Help:Contents/oc,16.905844318333724,11
112,commons.m_Help:Contents/or,20.129153545279852,8
113,commons.m_Help:Contents/pl,21.81827684140861,9
114,commons.m_Help:Contents/pt,20.037321194733305,8
115,commons.m_Help:Contents/pt-br,18.93254766321602,12
116,commons.m_Help:Contents/ru,21.285106694909068,8
117,commons.m_Help:Contents/scn,21.23785883581997,8
118,commons.m_Help:Contents/sco,20.09755101718054,8
119,commons.m_Help:Contents/sd,19.655771370897373,8
120,commons.m_Help:Contents/su,20.30328528323488,8
121,commons.m_Help:Contents/sv,16.311835997594454,10
122,commons.m_Help:Contents/th,19.680468365434766,8
123,commons.m_Help:Contents/tr,19.563394092939,8
124,commons.m_Help:Contents/uk,16.12438163791133,9
125,commons.m_Help:Contents/vi,20.09755101718054,8
126,commons.m_Help:Contents/zh,16.141757222073917,11
127,commons.m_Help:Contents/zh-hans,20.660523168159386,9
128,commons.m_Help:Contents/zh-hant,16.30984006126024,7
129,commons.m_Help:Converting_video,22.327624205633665,4
130,commons.m_Help:Creating_a_DjVu_file,20.20556314030661,9
131,commons.m_Help:Gadget-Cat-a-lot,22.328820645597904,11
132,commons.m_Help:Gadget-GallerySlideshow/OSDHelp,25.970764268004174,8
133,commons.m_Help:Inkscape,22.49349726909935,7
134,commons.m_Help:Namespaces,14.242355668223393,6
135,commons.m_Help:SVG,20.135969699916803,8
136,commons.m_Help:Scanning,20.678679138230557,9
137,commons.m_Help:VisualFileChange.js,24.27557034525493,9
138,commons.m_Help_talk:Contents,18.236457571846962,10
139,commons.m_Hoofdpagina,22.98119657977171,7
140,commons.m_Houptsyte,19.97541317772872,11
141,commons.m_Hovudside,22.04560540381052,9
142,commons.m_Hööftsiet,21.078191219477,10
143,commons.m_Hłowna_strona,21.46400790152748,9
144,commons.m_Il-Paġna_prinċipali,20.396211832163328,10
145,commons.m_Image:AN_Jana_Cova_1.jpg,21.60119607349513,9
146,commons.m_Italia,22.57450274893257,7
147,commons.m_Jana_Cova,22.677814012205356,6
148,commons.m_Johannes_Vermeer,13.85796447530932,5
149,commons.m_Kunstformen_der_Natur,18.90171270512472,5
150,commons.m_Laman_Utama,20.8043616872262,8
151,commons.m_Library_of_Congress,18.961491030361824,5
152,commons.m_Main_Page,22.69456660013687,7
153,commons.m_Main_page,24.77967776860235,8
154,commons.m_Maps_of_the_world,23.60452526069537,8
155,commons.m_Masturbation,25.41561735293407,7
156,commons.m_MediaWiki:Gadget-WatchlistNotice.js,17.421837088184375,11
157,commons.m_MediaWiki:Uploadnologintext,16.628114270568684,6
158,commons.m_MediaWiki:Uploadnologintext/ja,18.428444789734552,7
159,commons.m_Nude,24.183087633560845,5
160,commons.m_Ojúewé_Àkọ́kọ́,21.148899002383498,9
161,commons.m_Pache_picarte,21.216348442788576,7
162,commons.m_Paggena_prencepale,21.98961029622861,8
163,commons.m_Pagina_prima,20.40655708134831,9
164,commons.m_Pagina_principal,20.96468024532404,8
165,commons.m_Pagina_principală,21.723912131711494,8
166,commons.m_Pamuklat,24.285081797226162,7
167,commons.m_Paris,22.202673551833367,7
168,commons.m_Pela_Seri,19.16999936730839,11
169,commons.m_Penis,22.262977095333614,7
170,commons.m_Pornography,25.958836546918143,8
171,commons.m_Portada,20.861918832592718,4
172,commons.m_Portada_galega,21.076913832912105,8
173,commons.m_Portalada,20.01116223811227,8
174,commons.m_Przodńo_zajta,20.187259269102267,10
175,commons.m_Príomhleathanach,22.67629982810817,10
176,commons.m_Páhina_prencipal,21.3585981220998,9
177,commons.m_Páigina_percipal,22.282304753026363,9
178,commons.m_Sexual_identity_symbols,22.335088375223254,7
179,commons.m_Special:AbuseLog,15.763012692000036,6
180,commons.m_Special:Book,21.700600425983424,7
181,commons.m_Special:BookSources/9783940785572,21.431267598035895,9
182,commons.m_Special:CiteThisPage,13.412932275799587,7
183,commons.m_Special:Contributions,23.964407240006317,11
184,commons.m_Special:Contributions/Fæ,26.3365425504472,9
185,commons.m_Special:Contributions/LX,24.55888188239009,8
186,commons.m_Special:Contributions/Martin_of_Sheffield,23.2202341371482,11
187,commons.m_Special:Contributions/YiFeiBot,21.447963152260584,8
188,commons.m_Special:Contributions/Yodalejedi,20.368564274075887,13
