Unnamed: 0,words,rmse,trend_points
0,de_Terminator:_Die_Erlösung,18.70271380933027,8
1,de_Terminator:_The_Sarah_Connor_Chronicles,20.186713952079955,5
2,de_Terminator_2_–_Tag_der_Abrechnung,21.22364079816453,5
3,de_Termiten,18.902320279036232,9
4,de_Terra_Nova_(Fernsehserie),25.963643221087622,6
5,de_Terra_X,22.97246113044918,8
6,de_Terrence_Howard,25.855222190524348,9
7,de_Terrier,20.374581225664762,4
8,de_Terror,19.839275083708927,10
9,de_Terroranschlag_in_Istanbul_am_1._Januar_2017,21.92600285326632,7
10,de_Terroranschläge_in_Brüssel_am_22._März_2016,22.742941307367104,3
11,de_Terrorgruppe,12.773025957596664,5
12,de_Terrorherrschaft,21.533842750809303,7
13,de_Terroristische_Vereinigung,25.39354721634899,5
14,de_Terry_Crews,24.701670983669054,10
15,de_Terry_Gilliam,16.941646513203533,6
16,de_Terry_Jones_(Komiker),22.036788486483747,10
17,de_Terry_O’Quinn,24.223969685061284,11
18,de_Tertiärer_Bildungsbereich,23.060952405808557,7
19,de_Terz_(Musik),28.336042928266732,7
20,de_Tesla-Transformator,24.734096230502328,9
21,de_Tesla_Gigafactory,24.82645127819982,8
22,de_Tesla_Model_X,19.195722585103344,6
23,de_Tesla_Powerwall,22.443562700248336,7
24,de_Tesla_Roadster,23.647633604630126,8
25,de_Tess_(Film),24.72200940587643,11
26,de_Tess_Gerritsen,13.130643285972257,82
27,de_Tesserakt,17.719395775554762,3
28,de_Test,20.251116786164573,3
29,de_Testament,13.675652505611296,3
30,de_Testamentsvollstrecker,18.010060158449512,8
31,de_Testgetriebene_Entwicklung,69.46175310288153,5
32,de_Tet-Offensive,21.788719153682194,7
33,de_Tethys_(Ozean),26.671173986591434,8
34,de_Tetra_Pak,22.220943722525238,8
35,de_Tetracyclin,24.17566400240769,9
36,de_Tetraeder,19.545316071264594,6
37,de_Tetrazepam,20.965559198310594,9
38,de_Teutonen,23.878293854695645,7
39,de_Texas_Lightning,19.694109851384987,7
40,de_Texas_Rangers_(Polizei),22.247222413388357,9
41,de_Textilie,24.44699220338524,6
42,de_Textilindustrie,24.53829151412978,3
43,de_Textverarbeitung,18.86454564073501,10
44,de_Thailändische_Schrift,13.130643285972257,82
45,de_Thalassämie,21.21523026709877,6
46,de_Thales_Group,23.75546064361981,5
47,de_Thatcherismus,13.914214770579068,8
48,de_The_13th_Floor_–_Bist_du_was_du_denkst?,17.879465305506052,10
49,de_The_1975,20.793833300821177,4
50,de_The_Addams_Family,19.606737144689042,7
51,de_The_Alan_Parsons_Project,23.669515099189205,10
52,de_The_Amazing_Spider-Man_(2012),19.23822588152893,4
53,de_The_Amazing_Spider-Man_2:_Rise_of_Electro,28.45293713530111,8
54,de_The_Apprentice,22.277613201611143,10
55,de_The_Artist_(Film),21.59706979881588,8
56,de_The_Asylum,21.57322097595717,5
57,de_The_Bangles,26.27912684487953,7
58,de_The_Beatles,24.783400777613174,6
59,de_The_Beatles/Diskografie,22.838100977053408,6
60,de_The_Beatles_(Album),25.632210983978986,7
61,de_The_Big_Lebowski,18.146653659750832,7
62,de_The_Big_Wedding,19.932557142393808,10
63,de_The_Biggest_Loser,25.85920193738113,10
64,de_The_Birth_of_a_Nation_–_Aufstand_zur_Freiheit,21.73104033051952,10
65,de_The_Black_Dahlia,25.598012149087,10
66,de_The_Black_Eyed_Peas,21.486145117415994,9
67,de_The_Blitz,16.687556757456328,7
68,de_The_Blues_Brothers,26.000800100203968,10
69,de_The_Breakfast_Club,25.68869087890592,8
70,de_The_Byrds,17.440407532181876,9
71,de_The_Chemical_Brothers,20.44853932256485,7
72,de_The_Clash,15.035773518992801,6
73,de_The_Cleveland_Show,22.021592497617107,11
74,de_The_Closer,19.89829713785879,9
75,de_The_Company_You_Keep_–_Die_Akte_Grant,15.393226613019975,6
76,de_The_Counselor,20.78063578489489,10
77,de_The_Cranberries,19.814995698731163,11
78,de_The_Crow_–_Die_Krähe,18.56074685395477,9
79,de_The_Daily_Telegraph,23.772363220349952,10
80,de_The_Dakota,20.521902254124395,7
81,de_The_Dark_Tenor,17.723797630997282,5
82,de_The_Descendants_–_Familie_und_andere_Angelegenheiten,20.612183239096826,8
83,de_The_Door_in_the_Floor_–_Die_Tür_der_Versuchung,16.729530028665543,10
84,de_The_Doors_(Film),21.605695814867605,10
85,de_The_Drop_–_Bargeld,19.968089225463515,8
86,de_The_Dubliners,20.09755101718054,8
87,de_The_Edge,16.33982109714783,12
88,de_The_Elder_Scrolls_IV:_Oblivion,16.333269293120207,9
89,de_The_Elder_Scrolls_Online,21.074826247947353,10
90,de_The_Eminem_Show,16.158941385670882,10
91,de_The_End_of_the_Tour,15.406560504181227,9
92,de_The_Equalizer_(Film),20.415965438582717,8
93,de_The_Factory_(Film),16.333269293120207,9
94,de_The_Fast_and_the_Furious:_Tokyo_Drift,19.968089225463515,8
95,de_The_Finest_Hours_(2016),20.073360680614236,7
96,de_The_First_Avenger:_Civil_War,16.920221066150905,12
97,de_The_Forest,23.057439283227442,8
98,de_The_Game_(Film),21.24725858801763,8
99,de_The_Game_(Rapper),19.968089225463515,8
100,de_The_Get_Down,18.931534976477245,10
101,de_The_Good_Witch,16.333269293120207,9
102,de_The_Green_Mile_(Film),20.08013131923731,9
103,de_The_Grey_–_Unter_Wölfen,17.804002569616657,7
104,de_The_Handmaiden,20.09755101718054,8
105,de_The_Hateful_Eight,16.333269293120207,9
106,de_The_Help_(Film),19.968089225463515,8
107,de_The_Hollies,20.073360680614236,7
108,de_The_House_of_the_Rising_Sun,20.481538739338568,9
109,de_The_Human_Centipede_III_(Final_Sequence),20.56357535342387,9
110,de_The_Human_Centipede_II_(Full_Sequence),20.067736179757237,8
111,de_The_Hunger_Games,16.905844318333724,11
112,de_The_Huntsman_&_The_Ice_Queen,20.129153545279852,8
113,de_The_Italian_Job_–_Jagd_auf_Millionen,21.81827684140861,9
114,de_The_Jungle_Book_(2016),20.037321194733305,8
115,de_The_KLF,18.93254766321602,12
116,de_The_Kelly_Family,21.285106694909068,8
117,de_The_King’s_Speech,21.23785883581997,8
118,de_The_Kinks,20.09755101718054,8
119,de_The_LEGO_Batman_Movie,19.655771370897373,8
120,de_The_Last_Guardian,20.30328528323488,8
121,de_The_Last_House_on_the_Left_(2009),16.311835997594454,10
122,de_The_Last_Kingdom_(Fernsehserie)/Episodenliste,19.680468365434766,8
123,de_The_Last_Ship_(Fernsehserie)/Episodenliste,19.563394092939,8
124,de_The_Last_of_Us,16.12438163791133,9
125,de_The_Late_Late_Show_with_James_Corden,20.09755101718054,8
126,de_The_Legend_of_Zelda:_Ocarina_of_Time,16.141757222073917,11
127,de_The_Les_Humphries_Singers,20.660523168159386,9
128,de_The_Limits_of_Control,16.30984006126024,7
129,de_The_Lobster,22.327624205633665,4
130,de_The_Lumineers,20.20556314030661,9
131,de_The_Man_in_the_High_Castle,22.328820645597904,11
132,de_The_Master,25.970764268004174,8
133,de_The_Mentalist,22.49349726909935,7
134,de_The_Mentalist/Episodenliste,14.242355668223393,6
135,de_The_Middle,20.135969699916803,8
136,de_The_Moody_Blues,20.678679138230557,9
137,de_The_New_York_Times,24.27557034525493,9
138,de_The_Newsroom,18.236457571846962,10
139,de_The_North_Face,22.98119657977171,7
140,de_The_Office,19.97541317772872,11
141,de_The_Offspring,22.04560540381052,9
142,de_The_Place_Beyond_the_Pines,21.078191219477,10
143,de_The_Police,21.46400790152748,9
144,de_The_Pretty_Reckless,20.396211832163328,10
145,de_The_Punisher_(2004),21.60119607349513,9
146,de_The_Purge:_Election_Year,22.57450274893257,7
147,de_The_Pussycat_Dolls,22.677814012205356,6
148,de_The_Returned_(2012),13.85796447530932,5
149,de_The_Returned_(2015),18.90171270512472,5
150,de_The_Rock_–_Fels_der_Entscheidung,20.8043616872262,8
151,de_The_Rolling_Stones,18.961491030361824,5
152,de_The_Roots,22.69456660013687,7
153,de_The_Shadows,24.77967776860235,8
154,de_The_Shallows_–_Gefahr_aus_der_Tiefe,23.60452526069537,8
155,de_The_Shard,25.41561735293407,7
156,de_The_Shield_–_Gesetz_der_Gewalt,17.421837088184375,11
157,de_The_Signal_(2014),16.628114270568684,6
158,de_The_Sisters_of_Mercy,18.428444789734552,7
159,de_The_Sixth_Sense,24.183087633560845,5
160,de_The_Smashing_Pumpkins,21.148899002383498,9
161,de_The_Smiths,21.216348442788576,7
162,de_The_Social_Network,21.98961029622861,8
163,de_The_Sound_of_Silence,20.40655708134831,9
164,de_The_Star-Spangled_Banner,20.96468024532404,8
165,de_The_Strain_(Fernsehserie),21.723912131711494,8
166,de_The_Strokes,24.285081797226162,7
167,de_The_Submission_of_Emma_Marx,22.202673551833367,7
168,de_The_Sweet,19.16999936730839,11
169,de_The_Thing_(2011),22.262977095333614,7
170,de_The_Times,25.958836546918143,8
171,de_The_Tourist_(2010),20.861918832592718,4
172,de_The_Town_–_Stadt_ohne_Gnade,21.076913832912105,8
173,de_The_Trump_Organization,20.01116223811227,8
