Unnamed: 0,words,rmse,trend_points
0,de_HK417,18.70271380933027,8
1,de_HK69,20.186713952079955,5
2,de_HK_G3,21.22364079816453,5
3,de_HK_G36,18.902320279036232,9
4,de_HK_MG4,25.963643221087622,6
5,de_HK_MK23,22.97246113044918,8
6,de_HK_MP5,25.855222190524348,9
7,de_HK_MSG90,20.374581225664762,4
8,de_HK_SFP9,19.839275083708927,10
9,de_HK_UMP,21.92600285326632,7
10,de_HK_USP,22.742941307367104,3
11,de_HK_XM8,12.773025957596664,5
12,de_HMHS_Britannic,21.533842750809303,7
13,de_HMS_Dreadnought_(1906),25.39354721634899,5
14,de_HMS_Hood_(51),24.701670983669054,10
15,de_HMS_Ocean_(L12),16.941646513203533,6
16,de_HMS_Prince_of_Wales_(53),22.036788486483747,10
17,de_HMS_Queen_Elizabeth_(R08),24.223969685061284,11
18,de_HMS_Victory,23.060952405808557,7
19,de_HPV-Impfstoff,28.336042928266732,7
20,de_HR_Giger,24.734096230502328,9
21,de_HS_30,24.82645127819982,8
22,de_HTMS_Chakri_Naruebet,19.195722585103344,6
23,de_HTTP-Statuscode,22.443562700248336,7
24,de_HTTP_Strict_Transport_Security,23.647633604630126,8
25,de_Haarlem,24.72200940587643,11
26,de_Haastadler,13.130643285972257,82
27,de_Habanero,17.719395775554762,3
28,de_Habichtartige,20.251116786164573,3
29,de_Habit,13.675652505611296,3
30,de_Habitable_Zone,18.010060158449512,8
31,de_Habsburg-Lothringen,69.46175310288153,5
32,de_Hachiko_–_Eine_wunderbare_Freundschaft,21.788719153682194,7
33,de_Hachikō,26.671173986591434,8
34,de_Hack,22.220943722525238,8
35,de_Hackerangriff_auf_private_Fotos_von_Prominenten_2014,24.17566400240769,9
36,de_Hacksaw_Ridge,19.545316071264594,6
37,de_Hadaikum,20.965559198310594,9
38,de_Haddaway,23.878293854695645,7
39,de_Haddsch,19.694109851384987,7
40,de_Hades,22.247222413388357,9
41,de_Hadrian_(Kaiser),24.44699220338524,6
42,de_Hadrian_VI.,24.53829151412978,3
43,de_Hadron,18.86454564073501,10
44,de_Haferbrei,13.130643285972257,82
45,de_Haferflocken,21.21523026709877,6
46,de_Haflinger,23.75546064361981,5
47,de_Hage_Geingob,13.914214770579068,8
48,de_Hagebutte,17.879465305506052,10
49,de_Hagen,20.793833300821177,4
50,de_Hagen_Liebing,19.606737144689042,7
51,de_Haggis,23.669515099189205,10
52,de_Hahnenkammrennen,19.23822588152893,4
53,de_Haifa,28.45293713530111,8
